章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
002_夏本纪	巡狩	巡狩	308	词表匹配	巡狩	，摄行$天子$之政，巡狩。行视@鲧@之治水无	礼仪
002_夏本纪	天下	天下	335	词表匹配	天下	鲧@於=羽山=以死。天下皆以@舜@之诛为是。	思想
002_夏本纪	告成	告成	3198	词表匹配	告成	锡@禹@*玄圭*，以告成功于天下。天下於是太	礼仪
002_夏本纪	天下	天下	3202	词表匹配	天下	*玄圭*，以告成功于天下。天下於是太平治。↵	思想
002_夏本纪	天下	天下	3205	词表匹配	天下	*，以告成功于天下。天下於是太平治。↵↵##	思想
002_夏本纪	道德	道德	3293	词表匹配	道德	陶@述其谋曰：“信其道德，谋明辅和。”@禹@	思想
002_夏本纪	天下	天下	3922	词表匹配	天下	在位，安尔止。辅德，天下大应。清意以昭待上帝	思想
002_夏本纪	善恶	善恶	4108	词表匹配	善恶	“然。帝即不时，布同善恶则毋功。”↵- [1	思想
002_夏本纪	天下	天下	4551	词表匹配	天下	“然，往钦哉！”於是天下皆宗@禹@之明度数声	思想
002_夏本纪	天下	天下	4651	词表匹配	天下	。↵↵[19.1] 天下诸侯皆去@商均@而朝	思想
002_夏本纪	天下	天下	4683	词表匹配	天下	即$天子$位，南面朝天下，国号曰&夏后&，姓	思想
002_夏本纪	巡狩	巡狩	4783	词表匹配	巡狩	%十年%，@帝禹@东巡狩，至于=会稽=而崩。	礼仪
002_夏本纪	天下	天下	4796	词表匹配	天下	至于=会稽=而崩。以天下授@益@。%三年%之	思想
002_夏本纪	天下	天下	4853	词表匹配	天下	 @禹@子@启@贤，天下属意焉。及@禹@崩，	思想
002_夏本纪	天下	天下	4882	词表匹配	天下	益@之佐@禹@日浅，天下未洽。故诸侯皆去@益	思想
002_夏本纪	天下	天下	5151	词表匹配	天下	] 遂灭&有扈氏&。天下咸朝。↵↵---↵↵	思想
002_夏本纪	天下	天下	5825	词表匹配	天下	天子$位，代&夏&朝天下。@汤@封&夏&之後	思想
