章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
008_高祖本纪	天下	天下	1064	词表匹配	天下	@曰：↵↵> "夫人天下贵人。"↵↵[6.4	思想
008_高祖本纪	天下	天下	2412	词表匹配	天下	=父老曰：↵↵> "天下苦&秦&久矣。今父老	思想
008_高祖本纪	无为	无为	2478	词表匹配	无为	完。不然，父子俱屠，无为也。"↵↵[11.5	思想
008_高祖本纪	天下	天下	2542	词表匹配	天下	刘季@曰：↵↵> "天下方扰，诸侯并起，今置	思想
008_高祖本纪	大人	大人	5050	词表匹配	大人	此者多，吾视$沛公$大人长者。"↵↵[20.	典籍
008_高祖本纪	天下	天下	6937	词表匹配	天下	↵> "&秦&富十倍天下，地形彊。今闻@章邯	思想
008_高祖本纪	天下	天下	7692	词表匹配	天下	关，而北救&赵&，後天下约。乃曰：↵↵> "	思想
008_高祖本纪	天下	天下	7733	词表匹配	天下	伐，何以得主约！本定天下，诸将及@籍@也。"	思想
008_高祖本纪	天下	天下	8523	词表匹配	天下	而用之，可以有大功。天下已定，人皆自宁，不可	思想
008_高祖本纪	天下	天下	8547	词表匹配	天下	。不如决策东乡，争权天下。"↵↵## 各方叛	思想
008_高祖本纪	大赦	大赦	9509	词表匹配	大赦	。↵↵[31.8] 大赦罪人。↵↵[32.1	刑法
008_高祖本纪	天下	天下	9768	词表匹配	天下	告诸侯曰：↵↵> "天下共立$义帝$，北面事	思想
008_高祖本纪	天下	天下	10431	词表匹配	天下	击之。得留数月，吾取天下必矣。"↵↵[36.	思想
008_高祖本纪	大赦	大赦	10573	词表匹配	大赦	月%，立为$太子$，大赦罪人。↵↵[37.3	刑法
008_高祖本纪	天地	天地	10684	词表匹配	天地	] 於是令$祠官$祀天地四方上帝山川，以时祀	思想
008_高祖本纪	天下	天下	13517	词表匹配	天下	为政不平，主约不信，天下所不容，大逆无道，罪	思想
008_高祖本纪	天下	天下	13909	词表匹配	天下	乃与$汉王$约，中分天下，割=鸿沟=而西者为	思想
008_高祖本纪	斩首	斩首	14579	词表匹配	斩首	杀@项羽@=东城=，斩首八万，遂略定&楚&地	刑法
008_高祖本纪	天下	天下	15184	词表匹配	天下	。↵↵[56.1] 天下大定。↵↵[56.2	思想
008_高祖本纪	天下	天下	15406	词表匹配	天下	，皆言其情。吾所以有天下者何？&项氏&之所以	思想
008_高祖本纪	天下	天下	15419	词表匹配	天下	何？&项氏&之所以失天下者何？"↵↵[58.	思想
008_高祖本纪	天下	天下	15487	词表匹配	天下	所降下者因以予之，与天下同利也。@项羽@妒贤	思想
008_高祖本纪	天下	天下	15533	词表匹配	天下	而不予人利，此所以失天下也。"↵↵[58.4	思想
008_高祖本纪	天下	天下	15659	词表匹配	天下	吾能用之，此吾所以取天下也。@项羽@有一@范	思想
008_高祖本纪	大赦	大赦	15762	词表匹配	大赦	9.2] %六月%，大赦天下。↵↵## 平定	刑法
008_高祖本纪	天下	天下	15764	词表匹配	天下	2] %六月%，大赦天下。↵↵## 平定天下	思想
008_高祖本纪	天下	天下	15774	词表匹配	天下	天下。↵↵## 平定天下↵↵### 击败燕王	思想
008_高祖本纪	天下	天下	16245	词表匹配	天下	，人主也，柰何以我乱天下^法^！"↵↵[62	思想
008_高祖本纪	大赦	大赦	16413	词表匹配	大赦	[63.3] 是日，大赦天下。↵↵[63.4	刑法
008_高祖本纪	天下	天下	16415	词表匹配	天下	3.3] 是日，大赦天下。↵↵[63.4] 	思想
008_高祖本纪	天下	天下	17251	词表匹配	天下	萧何@曰：↵↵> "天下匈匈苦战数岁，成败未	思想
008_高祖本纪	天下	天下	17296	词表匹配	天下	萧何@曰：↵↵> "天下方未定，故可因遂就宫	思想
008_高祖本纪	夷三族	夷三族	17484	词表匹配	夷三族	$@贯高@等事发觉，夷三族。↵↵[70.2] 	刑法
008_高祖本纪	大人	大人	17639	词表匹配	大人	寿，曰：↵↵> "始大人常以臣无赖，不能治产	典籍
008_高祖本纪	夷三族	夷三族	18481	词表匹配	夷三族	韩信@谋反=关中=，夷三族。↵↵[78.1] 	刑法
008_高祖本纪	夷三族	夷三族	18518	词表匹配	夷三族	迁=蜀=；复欲反，遂夷三族。↵↵[78.2] 	刑法
008_高祖本纪	老子	老子	18755	词表匹配	老子	=沛宫=，悉召故人父老子弟纵酒，发=沛=中兒	典籍
008_高祖本纪	天下	天下	18942	词表匹配	天下	沛公$以诛暴逆，遂有天下，其以=沛=为朕汤沐	思想
008_高祖本纪	天下	天下	19827	词表匹配	天下	以布衣提三尺*剑*取天下，此非天命乎？命乃在	思想
008_高祖本纪	天命	天命	19832	词表匹配	天命	尺*剑*取天下，此非天命乎？命乃在天，虽@扁	思想
008_高祖本纪	天下	天下	20213	词表匹配	天下	乃事少主，非尽族是，天下不安。"↵↵[87.	思想
008_高祖本纪	天下	天下	20290	词表匹配	天下	，欲诛诸将。诚如此，天下危矣。@陈平@、@灌	思想
008_高祖本纪	大赦	大赦	20403	词表匹配	大赦	，乃以%丁未%发丧，大赦天下。↵↵[88.1	刑法
008_高祖本纪	天下	天下	20405	词表匹配	天下	以%丁未%发丧，大赦天下。↵↵[88.1] 	思想
008_高祖本纪	天下	天下	20516	词表匹配	天下	，拨乱世反之正，平定天下，为&汉&$太祖$，	思想
008_高祖本纪	诸子	诸子	20707	词表匹配	诸子	之。↵↵### 高帝诸子↵↵[91.1] $	思想
