章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
018_高祖功臣侯者年表	宗庙	宗庙	62	词表匹配	宗庙	功有^五品^，以德立宗庙定社稷曰勋，以言曰劳	礼仪
018_高祖功臣侯者年表	社稷	社稷	65	词表匹配	社稷	五品^，以德立宗庙定社稷曰勋，以言曰劳，用力	礼仪
018_高祖功臣侯者年表	仁义	仁义	321	词表匹配	仁义	以蕃卫天子，岂非笃於仁义，奉上法哉？↵↵##	思想
018_高祖功臣侯者年表	天下	天下	372	词表匹配	天下	%。↵↵[3.2] 天下初定，故大城名都散亡	思想
018_高祖功臣侯者年表	君子	君子	711	词表匹配	君子	↵↵[4.5] 後有君子，欲推而列之，得以览	思想
018_高祖功臣侯者年表	天下	天下	1446	词表匹配	天下	常奉车，为滕公，竟定天下，入汉中，全孝惠、鲁	思想
018_高祖功臣侯者年表	天下	天下	2388	词表匹配	天下	中尉$；出六奇计，定天下，侯，五千户。  |	思想
018_高祖功臣侯者年表	弃市	弃市	2540	词表匹配	弃市	五年，侯何坐略人妻，弃市，国除。  |  四	刑法
018_高祖功臣侯者年表	当死	当死	2758	词表匹配	当死	未除服奸，兄弟争财，当死，自杀，国除。  |	刑法
018_高祖功臣侯者年表	天下	天下	2841	词表匹配	天下	从之，复发兵佐高祖定天下，功侯。  |  三	思想
018_高祖功臣侯者年表	天下	天下	2972	词表匹配	天下	奉卫吕宣王、太上皇。天下已平，封释之为建成侯	思想
018_高祖功臣侯者年表	天下	天下	3182	词表匹配	天下	王请汉中地，常计谋平天下，侯，万户。  | 	思想
018_高祖功臣侯者年表	当死	当死	3265	词表匹配	当死	夫谋杀故楚$内史$，当死，赎为城旦，国除。 	刑法
018_高祖功臣侯者年表	赎为	赎为	3268	词表匹配	赎为	故楚$内史$，当死，赎为城旦，国除。  | 	刑法
018_高祖功臣侯者年表	宗庙	宗庙	3493	词表匹配	宗庙	上定诸侯，为法令，立宗庙，侯，八千户。  |	礼仪
018_高祖功臣侯者年表	弃市	弃市	6436	词表匹配	弃市	|  五。六年，侯它弃市，国除。  |   	刑法
018_高祖功臣侯者年表	弃市	弃市	7300	词表匹配	弃市	元鼎元年，侯倩坐杀人弃市，国除。  |  三	刑法
018_高祖功臣侯者年表	夷三族	夷三族	8302	词表匹配	夷三族	=关中=，吕后诛信，夷三族，国除。  |   	刑法
018_高祖功臣侯者年表	死罪	死罪	9732	词表匹配	死罪	 二。三年，侯越坐匿死罪，免为庶人，国除。 	刑法
018_高祖功臣侯者年表	弃市	弃市	10226	词表匹配	弃市	侯得坐伤人二旬内死，弃市，国除。  |  四	刑法
018_高祖功臣侯者年表	夺爵	夺爵	10868	词表匹配	夺爵	。十三。十六年，侯吉夺爵，国除。  |   	刑法
018_高祖功臣侯者年表	弃市	弃市	11637	词表匹配	弃市	侯义坐言五利侯不道，弃市，国除。  |  四	刑法
018_高祖功臣侯者年表	弃市	弃市	11969	词表匹配	弃市	&淮南&书称臣尽力，弃市，国除。  |  六	刑法
018_高祖功臣侯者年表	削爵	削爵	13842	词表匹配	削爵	|  元年，信有罪，削爵一级，为关内侯。  	刑法
018_高祖功臣侯者年表	上林	上林	17211	词表匹配	上林	。元鼎四年，侯指坐入上林谋盗鹿，国除。  |	典籍
018_高祖功臣侯者年表	天下	天下	17262	词表匹配	天下	兵初起，侍太公守丰，天下已平，以六年正月立仲	思想
018_高祖功臣侯者年表	弃市	弃市	19228	词表匹配	弃市	五年，侯买之坐铸白金弃市，国除。  |  百	刑法
018_高祖功臣侯者年表	弃市	弃市	21046	词表匹配	弃市	精大逆罪，颇连广德，弃市，国除。  |  百	刑法
018_高祖功臣侯者年表	论罪	论罪	21763	词表匹配	论罪	朔元年，不疑坐挟诏书论罪，国除。  |  百	刑法
018_高祖功臣侯者年表	夺爵	夺爵	22447	词表匹配	夺爵	 十一。中五年，侯鸱夺爵一级，国除。  | 	刑法
018_高祖功臣侯者年表	当死	当死	24281	词表匹配	当死	诈诏&衡山&王取金，当死，病死，国除。  |	刑法
018_高祖功臣侯者年表	圣贤	圣贤	25161	词表匹配	圣贤	## 赞↵↵[5] 圣贤影响，风云潜契。↵$	思想
