file	line_num	entity	source_type	context_before	tag_text	context_after	decision
006_秦始皇本纪.tagged.md	1290	公侯	official	[139.1] 是以〖@陈涉〗不用〖@汤〗、〖@武〗之贤，不藉	〖;公侯〗	之尊，奋臂於〖=大泽〗而〔天下〕响应者，其民危也。	identity
009_吕太后本纪.tagged.md	109	王太后	official	[9.3] 於是〖;齐王〗乃上〖=城阳〗之郡，尊〖#公主〗为	〖;王太后〗	。	skip
011_孝景本纪.tagged.md	119	栗太子	official	[12.1] 〖%七年冬〗，废	〖;栗太子〗	为〖;临江王〗。	skip
015_六国年表.tagged.md	310	帝太后	official	49] 228  |    |  十九。〖@王翦〗拔赵，虏〖@王迁〗〖=邯郸〗。	〖;帝太后〗	薨。  |  十五  |    |  八。〖@秦王〗翦虏〖@王迁〗〖=邯郸〗。公	identity
036_陈杞世家.tagged.md	64	悼太子	official	[20.20] 〖%三十四年〗，初，〖@哀公〗娶〖'郑〗，长姬生	〖;悼太子〗	〖@师〗，少姬生〖@偃〗。二嬖妾，长妾生〖@留〗，少妾生〖@胜〗。〖@留〗有宠〖	skip
036_陈杞世家.tagged.md	64	悼太子	official	公〗，〖@哀公〗属之其弟〖;司徒〗〖@招〗。〖@哀公〗病，〖%三月〗，〖@招〗杀	〖;悼太子〗	，立〖@留〗为〖#太子〗。〖@哀公〗怒，欲诛〖@招〗，〖@招〗发兵围守〖@哀公〗	skip
036_陈杞世家.tagged.md	68	悼太子	official	[21.21] 〖@招〗之杀	〖;悼太子〗	也，〖#太子〗之子名〖@吴〗，出奔〖'晋〗。〖@晋平公〗问〖;太史〗〖@赵〗曰：	skip
036_陈杞世家.tagged.md	72	悼太子	official	疾〗弑〖@灵王〗代立，是为〖@平王〗。〖@平王〗初立，欲得和诸侯，乃求故〖'陈〗	〖;悼太子〗	〖@师〗之子〖@吴〗，立为〖;陈侯〗，是为〖@惠公〗。〖@惠公〗立，探续〖@哀公	skip
046_田敬仲完世家.tagged.md	72	周天子	official	〖%三年〗，〖;太公〗与〖;魏文侯〗会〖=浊泽〗，求为诸侯。〖;魏文侯〗乃使使言	〖;周天子〗	及诸侯，请立〖;齐相田和〗为诸侯。〖;周天子〗许之。〖;康公〗之〖%十九年〗，〖	identity
046_田敬仲完世家.tagged.md	72	周天子	official	〗，求为诸侯。〖;魏文侯〗乃使使言〖;周天子〗及诸侯，请立〖;齐相田和〗为诸侯。	〖;周天子〗	许之。〖;康公〗之〖%十九年〗，〖;田和〗立为〖;齐侯〗，列於〖'周〗室，纪〖%	identity
047_孔子世家.tagged.md	42	公侯	official	"〖;仲尼〗曰："〖=山川〗之〚神〛足以纲纪〔天下〕，其守为〚神〛，〖^社稷〗为	〖;公侯〗	，皆属於王者。"客曰："〚防风〛何守？"〖;仲尼〗曰："〚汪罔氏〛之君守〖=封〗	identity
049_外戚世家.tagged.md	16	吕太后	official	3.1] 〖;吕后〗长女为〖;宣平侯张敖〗妻，〖@敖〗女为〖@孝惠〗〖#皇后〗。	〖;吕太后〗	以重亲故，欲其生子万方，终无子，诈取後宫人子为子。及〖;孝惠帝〗崩，〔天下〕初定	skip
049_外戚世家.tagged.md	22	薄太后	official	[4.1] 	〖;薄太后〗	，父〖'吴〗人，姓〖&薄氏〗，〖'秦〗时与故〖;魏王〗宗家女〖;魏媪〗通，生〖;	skip
049_外戚世家.tagged.md	26	吕太后	official	[4.3] 〖@高祖〗崩，诸御幸〖;姬戚夫人〗之属，	〖;吕太后〗	怒，皆幽之，不得出宫。而〖;薄姬〗以希见故，得出，从子之〖'代〗，为〖;代王〗〖	skip
049_外戚世家.tagged.md	30	薄太后	official	[4.5] 	〖;薄太后〗	母亦前死，葬〖=栎阳〗北。於是乃追尊〖@薄〗父为〖;灵文侯〗，〖=会稽郡〗置园邑	skip
049_外戚世家.tagged.md	30	薄太后	official	食祠如〖^法〗。而〖=栎阳〗北亦置〖;灵文侯〗〖#夫人〗园，如〖;灵文侯〗园仪。	〖;薄太后〗	以为母家〖;魏王〗後，早失父母，其奉〖;薄太后〗诸〖@魏〗有力者，於是召复〖&魏	skip
049_外戚世家.tagged.md	30	薄太后	official	#夫人〗园，如〖;灵文侯〗园仪。〖;薄太后〗以为母家〖;魏王〗後，早失父母，其奉	〖;薄太后〗	诸〖@魏〗有力者，於是召复〖&魏氏〗，赏赐各以亲疏受之。〖&薄氏〗侯者凡一人。	skip
049_外戚世家.tagged.md	32	薄太后	official	[4.6] 	〖;薄太后〗	後〖;文帝〗〖%二年〗，以〖;孝景帝〗前〖%二年〗崩，葬〖=南陵〗。以〖;吕后〗	skip
049_外戚世家.tagged.md	36	吕太后	official	[5.1] 〖;窦太后〗，〖@赵〗之〖=清河〗、〖=观津〗人也。	〖;吕太后〗	时，〖;窦姬〗以良家子入宫侍〖#太后〗。〖#太后〗出宫人以赐诸王，各五人，〖;窦	skip
049_外戚世家.tagged.md	36	窦太后	official	[5.1] 	〖;窦太后〗	，〖@赵〗之〖=清河〗、〖=观津〗人也。〖;吕太后〗时，〖;窦姬〗以良家子入宫侍	skip
049_外戚世家.tagged.md	38	薄太后	official	[5.2] 〖;窦皇后〗亲蚤卒，葬〖=观津〗。於是	〖;薄太后〗	乃诏〖;有司〗，追尊〖;窦后〗父为〖;安成侯〗，母曰〖;安成夫人〗。令〖=清河〗	skip
