章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
010_孝文本纪	天下	天下	485	词表匹配	天下	之位者，&刘氏&也，天下绝望，一矣。$高帝$	思想
010_孝文本纪	天下	天下	517	词表匹配	天下	，此所谓盘石之宗也，天下服其彊，二矣。&汉&	思想
010_孝文本纪	天下	天下	733	词表匹配	天下	又长，贤圣仁孝，闻於天下，故大臣因天下之心而	思想
010_孝文本纪	天下	天下	740	词表匹配	天下	，闻於天下，故大臣因天下之心而欲迎立大王，大	思想
010_孝文本纪	宗庙	宗庙	1454	词表匹配	宗庙	$孝惠帝$子，不当奉宗庙。臣谨请$阴安侯$列	礼仪
010_孝文本纪	宗庙	宗庙	1547	词表匹配	宗庙	↵↵> "奉$高帝$宗庙，重事也。寡人不佞，	礼仪
010_孝文本纪	宗庙	宗庙	1563	词表匹配	宗庙	。寡人不佞，不足以称宗庙。原请$楚王$计宜者	礼仪
010_孝文本纪	宗庙	宗庙	1658	词表匹配	宗庙	计之，大王奉$高帝$宗庙最宜称，虽天下诸侯万	礼仪
010_孝文本纪	天下	天下	1665	词表匹配	天下	高帝$宗庙最宜称，虽天下诸侯万民以为宜。臣等	思想
010_孝文本纪	宗庙	宗庙	1678	词表匹配	宗庙	侯万民以为宜。臣等为宗庙社稷计，不敢忽。原大	礼仪
010_孝文本纪	社稷	社稷	1680	词表匹配	社稷	民以为宜。臣等为宗庙社稷计，不敢忽。原大王幸	礼仪
010_孝文本纪	宗庙	宗庙	1975	词表匹配	宗庙	大逆，欲以危&刘氏&宗庙，赖$将相$列侯宗室	礼仪
010_孝文本纪	天下	天下	2004	词表匹配	天下	其辜。朕初即位，其赦天下，赐民爵一级，女子百	思想
010_孝文本纪	宗庙	宗庙	2911	词表匹配	宗庙	蚤建$太子$，所以尊宗庙。请立$太子$。"↵	礼仪
010_孝文本纪	天下	天下	2967	词表匹配	天下	德，上帝神明未歆享，天下人民未有嗛志。今纵不	思想
010_孝文本纪	天下	天下	2982	词表匹配	天下	有嗛志。今纵不能博求天下贤圣有德之人而禅天下	思想
010_孝文本纪	天下	天下	2992	词表匹配	天下	天下贤圣有德之人而禅天下焉，而曰豫建$太子$	思想
