章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
079_范睢蔡泽列传	范睢	范睢	6	词表匹配	范睢	# [0] 范睢蔡泽列传↵↵## 范	人名
079_范睢蔡泽列传	蔡泽	蔡泽	8	词表匹配	蔡泽	# [0] 范睢蔡泽列传↵↵## 范睢魏	人名
079_范睢蔡泽列传	范睢	范睢	17	词表匹配	范睢	睢蔡泽列传↵↵## 范睢魏齐之仇↵↵[1] 	人名
079_范睢蔡泽列传	魏齐	魏齐	19	词表匹配	魏齐	泽列传↵↵## 范睢魏齐之仇↵↵[1] @范	人名
079_范睢蔡泽列传	中大夫	中大夫	69	词表匹配	中大夫	以自资，乃先事=魏=中大夫@须贾@。↵↵[2]	官职
079_范睢蔡泽列传	数月	数月	106	词表匹配	数月	齐=，@范睢@从。留数月，未得报。=齐=襄王	时间
079_范睢蔡泽列传	周襄王	襄王	116	词表匹配	襄王	数月，未得报。=齐=襄王闻睢辩口，乃使人赐睢	人名
079_范睢蔡泽列传	牛酒	牛酒	132	词表匹配	牛酒	，乃使人赐睢金十斤及牛酒，睢辞谢不敢受。@须	器物
079_范睢蔡泽列传	牛酒	牛酒	176	词表匹配	牛酒	，故得此馈，令睢受其牛酒，还其金。既归，心怒	器物
079_范睢蔡泽列传	谒者	谒者	396	词表匹配	谒者	当此时，@秦昭王@使谒者@王稽@於=魏=。@	官职
079_范睢蔡泽列传	东郭咸阳	咸阳	552	词表匹配	咸阳	而去。↵↵## 潜入咸阳避穰侯↵↵[4] @	人名
079_范睢蔡泽列传	穰侯	穰侯	555	词表匹配	穰侯	↵↵## 潜入咸阳避穰侯↵↵[4] @王稽@	人名
079_范睢蔡泽列传	关东	关东	698	词表匹配	关东	因立*车*而语曰：“关东有何变？”曰：“无有	地名
079_范睢蔡泽列传	十馀里	十馀里	818	词表匹配	十馀里	曰：“此必悔之。”行十馀里，果使骑还索*车*中	时间
079_范睢蔡泽列传	得臣	得臣	897	词表匹配	得臣	秦=王之国危於累卵，得臣则安。然不可以书传也	人名
079_范睢蔡泽列传	书传	书传	906	词表匹配	书传	，得臣则安。然不可以书传也’。臣故载来。”=	制度
079_范睢蔡泽列传	岁馀	岁馀	932	词表匹配	岁馀	信，使舍食草具。待命岁馀。↵↵[6] 当是时	时间
079_范睢蔡泽列传	三十六年	三十六年	951	词表匹配	三十六年	当是时，@昭王@已立三十六年。南拔=楚=之=鄢=	时间
079_范睢蔡泽列传	周昭王	昭王	1027	词表匹配	昭王	↵↵## 远交近攻说昭王↵↵[7] @穰侯@	人名
079_范睢蔡泽列传	华阳	华阳	1040	词表匹配	华阳	↵[7] @穰侯@，华阳君，@昭王@母宣太后	人名
079_范睢蔡泽列传	宣太后	宣太后	1049	词表匹配	宣太后	，华阳君，@昭王@母宣太后之弟也；而泾阳君、高	人名
079_范睢蔡泽列传	泾阳君	泾阳君	1057	词表匹配	泾阳君	@母宣太后之弟也；而泾阳君、高陵君皆@昭王@同	人名
079_范睢蔡泽列传	高陵	高陵	1061	词表匹配	高陵	后之弟也；而泾阳君、高陵君皆@昭王@同母弟也	地名
079_范睢蔡泽列传	三人	三人	1080	词表匹配	三人	母弟也。@穰侯@相，三人者更将，有封邑，以太	时间
079_范睢蔡泽列传	斧质	斧质	1593	词表匹配	斧质	颜色。一语无效，请伏斧质。↵↵[11] 於是	制度
079_范睢蔡泽列传	永巷	永巷	1668	词表匹配	永巷	得见於离宫，详为不知永巷而入其中。王来而宦者	地名
079_范睢蔡泽列传	宦者	宦者	1678	词表匹配	宦者	永巷而入其中。王来而宦者怒，逐之，曰：“王至	官职
079_范睢蔡泽列传	宦者	宦者	1741	词表匹配	宦者	。@昭王@至，闻其与宦者争言，遂延迎，谢曰：	官职
079_范睢蔡泽列传	义渠	义渠	1765	词表匹配	义渠	人宜以身受命久矣，会义渠之事急，寡人旦暮自请	地名
079_范睢蔡泽列传	义渠	义渠	1781	词表匹配	义渠	寡人旦暮自请太后；今义渠之事已，寡人乃得受命	地名
079_范睢蔡泽列传	太公望吕尚	吕尚	1967	词表匹配	吕尚	“非敢然也。臣闻昔者吕尚之遇@文王@也，身为	人名
079_范睢蔡泽列传	渔父	渔父	1979	词表匹配	渔父	之遇@文王@也，身为渔父而钓於渭滨耳。若是者	官职
079_范睢蔡泽列传	太公望吕尚	吕尚	2026	词表匹配	吕尚	。故@文王@遂收功於吕尚而卒王天下。乡使@文	人名
079_范睢蔡泽列传	太公望吕尚	吕尚	2041	词表匹配	吕尚	天下。乡使@文王@疏吕尚而不与深言，是=周=	人名
079_范睢蔡泽列传	天子	天子	2054	词表匹配	天子	不与深言，是=周=无天子之德，而文武无与成其	官职
079_范睢蔡泽列传	文武	文武	2060	词表匹配	文武	=周=无天子之德，而文武无与成其王业也。今臣	人名
079_范睢蔡泽列传	今日	今日	2140	词表匹配	今日	有畏而不敢言也。臣知今日言之於前而明日伏诛於	时间
079_范睢蔡泽列传	明日	明日	2147	词表匹配	明日	。臣知今日言之於前而明日伏诛於後，然臣不敢避	时间
079_范睢蔡泽列传	五帝	五帝	2202	词表匹配	五帝	狂不足以为臣耻。且以五帝之圣焉而死，三王之仁	朝代
079_范睢蔡泽列传	三王	三王	2210	词表匹配	三王	且以五帝之圣焉而死，三王之仁焉而死，五伯之贤	朝代
079_范睢蔡泽列传	五伯	五伯	2218	词表匹配	五伯	死，三王之仁焉而死，五伯之贤焉而死，乌获、任	制度
079_范睢蔡泽列传	乌获	乌获	2226	词表匹配	乌获	死，五伯之贤焉而死，乌获、任鄙之力焉而死，成	人名
079_范睢蔡泽列传	任鄙	任鄙	2229	词表匹配	任鄙	伯之贤焉而死，乌获、任鄙之力焉而死，成荆、孟	人名
079_范睢蔡泽列传	孟贲	孟贲	2240	词表匹配	孟贲	鄙之力焉而死，成荆、孟贲、王庆忌、&夏&育之	神话
079_范睢蔡泽列传	庆忌	庆忌	2244	词表匹配	庆忌	而死，成荆、孟贲、王庆忌、&夏&育之勇焉而死	人名
079_范睢蔡泽列传	大原	大原	2288	词表匹配	大原	补於=秦=，此臣之所大原也，臣又何患哉！@伍	地名
079_范睢蔡泽列传	阖闾	阖闾	2355	词表匹配	阖闾	=市，卒兴=吴=国，阖闾为伯。使臣得尽谋如@	人名
079_范睢蔡泽列传	接舆	接舆	2401	词表匹配	接舆	臣又何忧？@箕子@、接舆漆身为厉，被发为狂，	人名
079_范睢蔡泽列传	宗庙	宗庙	2536	词表匹配	宗庙	迷惑，无与昭奸。大者宗庙灭覆，小者身以孤危，	制度
079_范睢蔡泽列传	先王	先王	2637	词表匹配	先王	是天以寡人慁先生而存先王之宗庙也。寡人得受命	官职
079_范睢蔡泽列传	宗庙	宗庙	2640	词表匹配	宗庙	寡人慁先生而存先王之宗庙也。寡人得受命於先生	制度
079_范睢蔡泽列传	先王	先王	2658	词表匹配	先王	命於先生，是天所以幸先王，而不弃其孤也。先生	官职
079_范睢蔡泽列传	甘泉	甘泉	2748	词表匹配	甘泉	国，四塞以为固，北有甘泉、谷口，南带泾、渭，	地名
