章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
084_屈原贾生列传	治乱	治乱	95	词表匹配	治乱	徒$。博闻彊志,明於治乱,嫺於辞令。入则与王	思想
084_屈原贾生列传	国风	国风	450	词表匹配	国风	也。↵↵[2.2] 国风好色而不淫,小雅怨诽	典籍
084_屈原贾生列传	小雅	小雅	458	词表匹配	小雅	] 国风好色而不淫,小雅怨诽而不乱。若离骚者	典籍
084_屈原贾生列传	道德	道德	523	词表匹配	道德	武@$,以刺世事。明道德之广崇,治乱之条贯,	思想
084_屈原贾生列传	治乱	治乱	529	词表匹配	治乱	世事。明道德之广崇,治乱之条贯,靡不毕见。其	思想
084_屈原贾生列传	斩首	斩首	891	词表匹配	斩首	师於=丹=、=淅=,斩首八万,虏&楚&将@屈	刑法
084_屈原贾生列传	天下	天下	1734	词表匹配	天下	,身客死於&秦&,为天下笑。此不知人之祸也。	思想
084_屈原贾生列传	圣人	圣人	1970	词表匹配	圣人	。"$渔父$曰:"夫圣人者,不凝滞於物而能与	思想
084_屈原贾生列传	君子	君子	2244	词表匹配	君子	度未替;易初本由兮,君子所鄙。章画职墨兮,前	思想
084_屈原贾生列传	大人	大人	2266	词表匹配	大人	度未改;内直质重兮,大人所盛。巧匠不斫兮,孰	典籍
084_屈原贾生列传	人心	人心	2625	词表匹配	人心	慨兮。世既莫吾知兮,人心不可谓兮。怀情抱质兮	思想
084_屈原贾生列传	君子	君子	2719	词表匹配	君子	兮,原勿爱兮。明以告君子兮,吾将以为类兮。↵	思想
084_屈原贾生列传	天下	天下	3027	词表匹配	天下	=守@吴公@$治平为天下第一,故与@李斯@同	思想
084_屈原贾生列传	诸子	诸子	3069	词表匹配	诸子	言@贾生@年少,颇通诸子百家之书。$@文帝@	思想
084_屈原贾生列传	百家	百家	3071	词表匹配	百家	贾生@年少,颇通诸子百家之书。$@文帝@$召	思想
084_屈原贾生列传	天下	天下	3237	词表匹配	天下	文@$%二十馀年%,天下和洽,而固当改^正朔	思想
084_屈原贾生列传	圣人	圣人	3867	词表匹配	圣人	与〘蛭〙〘螾〙？所贵圣人之神德兮,远浊世而自	思想
084_屈原贾生列传	变化	变化	4277	词表匹配	变化	↵[13.3] 万物变化兮,固无休息。斡流而	思想
084_屈原贾生列传	变化	变化	4303	词表匹配	变化	推而还。形气转续兮,变化而嬗。沕穆无穷兮,胡	思想
084_屈原贾生列传	吉凶	吉凶	4337	词表匹配	吉凶	祸所伏;忧喜聚门兮,吉凶同域。彼&吴&彊大兮	思想
084_屈原贾生列传	天地	天地	4514	词表匹配	天地	↵[13.4] 且夫天地为*炉*兮,造化为工	思想
084_屈原贾生列传	阴阳	阴阳	4527	词表匹配	阴阳	*炉*兮,造化为工;阴阳为*炭*兮,万物为*	思想
