章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
130_太史公自序	天下	天下	718	词表匹配	天下	2] ^易大传^："天下一致而百虑，同归而殊	思想
130_太史公自序	大祥	大祥	799	词表匹配	大祥	尝窃观^阴阳^之术，大祥而众忌讳，使人拘而多	礼仪
130_太史公自序	名实	名实	944	词表匹配	名实	人俭而善失真；然其正名实，不可不察也。^道家	思想
130_太史公自序	变化	变化	1011	词表匹配	变化	之要，与时迁移，应物变化，立俗施事，无所不宜	思想
130_太史公自序	天下	天下	1056	词表匹配	天下	者^则不然。以为人主天下之仪表也，主倡而臣和	思想
130_太史公自序	阴阳	阴阳	1147	词表匹配	阴阳	↵↵## [3] 论阴阳家↵[3.1] 夫^	思想
130_太史公自序	天下	天下	1247	词表匹配	天下	大经也，弗顺则无以为天下纲纪，故曰"!四时!	思想
130_太史公自序	儒家	儒家	1279	词表匹配	儒家	↵↵## [4] 论儒家↵[4.1] 夫^儒	思想
130_太史公自序	百家	百家	1360	词表匹配	百家	，序夫妇长幼之别，虽百家弗能易也。↵↵## 	思想
130_太史公自序	墨家	墨家	1377	词表匹配	墨家	↵↵## [5] 论墨家↵[5.1] ^墨者	思想
130_太史公自序	德行	德行	1403	词表匹配	德行	尧@、@舜@道，言其德行曰："堂高三尺，土阶	思想
130_太史公自序	丧礼	丧礼	1486	词表匹配	丧礼	寸，举音不尽其哀。教丧礼，必以此为万民之率。	礼仪
130_太史公自序	天下	天下	1499	词表匹配	天下	必以此为万民之率。使天下法若此，则尊卑无别也	思想
130_太史公自序	法家	法家	1576	词表匹配	法家	↵↵## [6] 论法家↵[6.1] ^法家	思想
130_太史公自序	百家	百家	1654	词表匹配	百家	明分职不得相逾越，虽百家弗能改也。↵↵## 	思想
130_太史公自序	道家	道家	1747	词表匹配	道家	↵↵## [8] 论道家↵[8.1] ^道家	思想
130_太史公自序	无为	无为	1760	词表匹配	无为	[8.1] ^道家^无为，又曰无不为，其实易	思想
130_太史公自序	无为	无为	1783	词表匹配	无为	，其辞难知。其术以虚无为本，以因循为用。无成	思想
130_太史公自序	圣人	圣人	1849	词表匹配	圣人	度，因物与合。故曰"圣人不朽，时变是守。虚者	思想
130_太史公自序	天下	天下	1957	词表匹配	天下	大道，混混冥冥。光翟天下，复反无名。↵↵[8	思想
130_太史公自序	圣人	圣人	2020	词表匹配	圣人	生，离者不可复反，故圣人重之。由是观之，神者	思想
130_太史公自序	天下	天下	2057	词表匹配	天下	其神，而曰"我有以治天下"，何由哉？↵↵##	思想
130_太史公自序	天下	天下	2593	词表匹配	天下	父母，此孝之大者。夫天下称诵@周公@，言其能	思想
130_太史公自序	王道	王道	2676	词表匹配	王道	@幽@、@厉@之後，王道缺，礼乐衰，@孔子@	思想
130_太史公自序	礼乐	礼乐	2680	词表匹配	礼乐	@厉@之後，王道缺，礼乐衰，@孔子@脩旧起废	礼仪
130_太史公自序	天下	天下	2773	词表匹配	天下	$太史$而弗论载，废天下之史文，余甚惧焉，汝	思想
130_太史公自序	春秋	春秋	3057	词表匹配	春秋	 [14] 与壶遂论春秋↵[14.1] $上	典籍
130_太史公自序	是非	是非	3158	词表匹配	是非	之不用，道之不行也，是非%二百四十二年%之中	思想
130_太史公自序	天下	天下	3173	词表匹配	天下	四十二年%之中，以为天下仪表，贬$天子$，退	思想
130_太史公自序	春秋	春秋	3247	词表匹配	春秋	↵## [15] 论春秋与六经↵[15.1]	典籍
130_太史公自序	是非	是非	3285	词表匹配	是非	人事之纪，别嫌疑，明是非，定犹豫，善善恶恶，	思想
130_太史公自序	善恶	善恶	3293	词表匹配	善恶	，明是非，定犹豫，善善恶恶，贤贤贱不肖，存亡	思想
130_太史公自序	王道	王道	3316	词表匹配	王道	，继绝世，补敝起废，王道之大者也。↵↵[15	思想
130_太史公自序	五行	五行	3346	词表匹配	五行	!天地阴阳!!四时!五行，故长於变；^礼^经	思想
130_太史公自序	是非	是非	3427	词表匹配	是非	故长於和；^春秋^辩是非，故长於治人。是故^	思想
130_太史公自序	道义	道义	3478	词表匹配	道义	^以道化，^春秋^以道义。拨乱世反之正，莫近	思想
