file	line_num	entity	context_before	word	context_after	group
001_五帝本纪.tagged.md	114	宾客	，百官时序。宾於四门，四门穆穆，诸侯远方	宾客	皆敬。〖@尧〗使〖@舜〗入山林川泽，暴〖	guest_retainer
001_五帝本纪.tagged.md	147	庶人	矣。自从〖@穷蝉〗以至〖@帝舜〗，皆微为	庶人	。	social_roles
001_五帝本纪.tagged.md	211	宾客	- [24.7] 〖@龙〗主	宾客	，远人至；	guest_retainer
003_殷本纪.tagged.md	38	处士	@汤〗，致于〖^王道〗。或曰，〖@伊尹〗	处士	，〖@汤〗使人聘迎之，五反然後肯往从〖@	scholar_warrior
003_殷本纪.tagged.md	124	妇人	- 好酒淫乐，嬖於	妇人	。爱〖@妲己〗，〖@妲己〗之言是从。	social_roles
004_周本纪.tagged.md	39	妇人	〖@季历〗，〖@季历〗娶〖@太任〗，皆贤	妇人	，生〖@昌〗，有圣瑞。	social_roles
004_周本纪.tagged.md	101	妇人	，告于众庶：“今〖'殷〗王〖@纣〗乃用其	妇人	之言，自绝于天，毁坏其〖^三正〗，离逷其	social_roles
004_周本纪.tagged.md	101	妇人	弃其先祖之乐，乃为淫声，用变乱正声，怡说	妇人	。故今予〖@发〗维共行天罚。勉哉夫子，不	social_roles
004_周本纪.tagged.md	204	庶人	献曲，史献书，师箴，瞍赋，矇诵，百工谏，	庶人	传语，近臣尽规，亲戚补察，瞽史教诲，耆艾	social_roles
004_周本纪.tagged.md	204	近臣	书，师箴，瞍赋，矇诵，百工谏，庶人传语，	近臣	尽规，亲戚补察，瞽史教诲，耆艾脩之，而后	minister_type
004_周本纪.tagged.md	231	妇人	漦流于庭，不可除。〖@厉王〗使	妇人	裸而譟之。漦化为〘玄鼋〙，以入王後宫。後	social_roles
005_秦本纪.tagged.md	188	良臣	为诸侯〖;盟主〗，亦宜哉。死而弃民，收其	良臣	而从死。且〖#先王〗崩，尚犹遗德垂法，况	minister_type
005_秦本纪.tagged.md	188	良臣	且〖#先王〗崩，尚犹遗德垂法，况夺之善人	良臣	百姓所哀者乎？是以知〖'秦〗不能复东征也	minister_type
005_秦本纪.tagged.md	330	寡人	复〖@缪公〗之故地，脩〖@缪公〗之政令。	寡人	思念先君之意，常痛於心。宾客群臣有能出奇	social_roles
005_秦本纪.tagged.md	330	宾客	公〗之政令。寡人思念先君之意，常痛於心。	宾客	群臣有能出奇计彊〖'秦〗者，吾且尊官，与	guest_retainer
006_秦始皇本纪.tagged.md	21	宾客	，封〖%十万户〗，号曰〖;文信侯〗。招致	宾客	游士，欲以并〔天下〕。	guest_retainer
