章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
028_封禅书	封禅	封禅	2	词表匹配	封禅	# 封禅书↵↵[0] 封禅书	礼仪
028_封禅书	封禅	封禅	11	词表匹配	封禅	 封禅书↵↵[0] 封禅书↵↵## 封禅礼仪	礼仪
028_封禅书	封禅	封禅	19	词表匹配	封禅	] 封禅书↵↵## 封禅礼仪源流↵↵[1] 	礼仪
028_封禅书	尚书	尚书	191	词表匹配	尚书	记闻云。↵↵[2] 尚书曰，@舜@在*璇玑玉	典籍
028_封禅书	巡狩	巡狩	255	词表匹配	巡狩	牧，还瑞。岁二月，东巡狩，至于=岱宗=。=岱	礼仪
028_封禅书	巡狩	巡狩	328	词表匹配	巡狩	帛二生一死贽。五月，巡狩至南岳。南岳，=衡山	礼仪
028_封禅书	巡狩	巡狩	346	词表匹配	巡狩	，=衡山=也。八月，巡狩至西岳。西岳，=华山	礼仪
028_封禅书	巡狩	巡狩	365	词表匹配	巡狩	=华山=也。十一月，巡狩至北岳。北岳，=恆山	礼仪
028_封禅书	巡狩	巡狩	401	词表匹配	巡狩	，=嵩高=也。五载一巡狩。↵↵[3] @禹@	礼仪
028_封禅书	祭地	祭地	691	词表匹配	祭地	迎长日之至；夏日至，祭地祗。皆用乐舞，而神乃	礼仪
028_封禅书	乐舞	乐舞	697	词表匹配	乐舞	夏日至，祭地祗。皆用乐舞，而神乃可得而礼也。	礼仪
028_封禅书	祭天	祭天	711	词表匹配	祭天	神乃可得而礼也。天子祭天下名山大川，^五岳^	礼仪
028_封禅书	宗祀	宗祀	819	词表匹配	宗祀	祀^@后稷@以配天，宗祀@文王@於^明堂^以	礼仪
028_封禅书	祭祀	祭祀	874	词表匹配	祭祀	尚矣。↵↵## 秦国祭祀制度↵↵[6] 自&	礼仪
028_封禅书	礼乐	礼乐	901	词表匹配	礼乐	&後十四世，世益衰，礼乐废，诸侯恣行，而@幽	礼仪
028_封禅书	天下	天下	1038	词表匹配	天下	@文公@梦〘黄蛇〙自天下属地，其口止於=鄜衍	思想
028_封禅书	天下	天下	1852	词表匹配	天下	会六，九合诸侯，一匡天下，诸侯莫违我。昔三代	思想
028_封禅书	天下	天下	2163	词表匹配	天下	不知。知禘之说，其於天下也视其掌。"诗云@纣	思想
028_封禅书	天下	天下	2205	词表匹配	天下	武王@克&殷&二年，天下未宁而崩。爰&周&德	思想
028_封禅书	封禅	封禅	2571	词表匹配	封禅	下。↵↵## 秦始皇封禅与祭祀↵↵[19] 	礼仪
028_封禅书	祭祀	祭祀	2574	词表匹配	祭祀	↵## 秦始皇封禅与祭祀↵↵[19] 其後百	礼仪
028_封禅书	天下	天下	2595	词表匹配	天下	百一十五年而&秦&并天下。↵↵[20] @秦	思想
028_封禅书	天下	天下	2612	词表匹配	天下	0] @秦始皇@既并天下而帝，或曰："@黄帝	思想
028_封禅书	天下	天下	3705	词表匹配	天下	焉。及至@秦始皇@并天下，至海上，则方士言之	思想
028_封禅书	诗书	诗书	3999	词表匹配	诗书	亡。诸儒生疾&秦&焚诗书，诛僇文学，百姓怨其	思想
028_封禅书	天下	天下	4013	词表匹配	天下	僇文学，百姓怨其法，天下畔之，皆讹曰："@始	思想
