页面	减少量(B)	减少前(B)	减少后(B)	时间	减少前摘要	减少后摘要	减少前版本	减少后版本
四战之地五策生存法	12100	12262	162	2026-04-24 00:40:56	butler/ontology-import: 郑宋蔡曹陈五国564年四战之地生存史提炼五策（摇摆/依附/迁都/改革/文化软实力）	H1融合：改为REDIRECT→四战之地生存策略	20260423-054329-935e73	20260424-004056-6739ee
赵武灵王胡服骑射	9901	10033	132	2026-04-23 15:09:11	butler/import-story: 赵武灵王胡服骑射	butler/redirect: 赵武灵王胡服骑射 → 胡服骑射	20260423-230237-8d13a8	20260423-150911-0f592a
百年存五：功臣家族三代魔咒六大失侯原因与传承六策	9243	9539	296	2026-04-24 01:32:38	butler/ontology-import: 高祖功臣年表143侯百年存五数据+六大失侯原因+六大传承策略+三代操作清单	H1 REDIRECT → 百年存五：功臣家族传承三代法（合并）	20260423-070135-e3335e	20260424-013238-de27f2
赵高说李斯：识别并抵御心理操控六技术与六防御方法论	8516	8830	314	2026-04-24 01:09:31	butler/ontology-import: 李斯列传赵高六种操控技术+李斯四阶段妥协+六大防御策略+现代职场应用	REDIRECT→赵高说李斯：六种心理操控技术与防御（jaccard=0.62，冗余合并）	20260423-070730-8afad7	20260424-010931-3f021a
鲍叔式人才识别：透过失败看本质的五步法	8306	8680	374	2026-04-24 02:05:46	butler/ontology-import: 鲍叔五步识人法（暂停评判/系统分析/正向证据/情景评估/承担风险）+五大约束类型+招聘管理投资现代应用	butler/merge: convert to redirect → 鲍叔识人完整方法论	20260423-055929-eb0a8f	20260424-020546-6dcbc4
蒯聩辄父子争位：前任现任冲突六原则处理法	7531	7885	354	2026-04-24 01:05:43	butler/dedup: 合并3个版本，保留最完整内容	H1 merge: 蒯聩辄冗余页 REDIRECT → 蒯聩辄父子争位处理六原则	20260423-140502-e642bd	20260424-010543-dc1833
功高震主四策：张良萧何韩信曹参的生存决策树	7458	7788	330	2026-04-24 00:37:41	butler/ontology-import: 高祖功臣侯者年表功高震主四策（功成身退/自污保身/彻底自立/守成低调）+决策树+韩信进退失据分析	H1融合：改为REDIRECT→功高震主四策决策树：张良萧何韩信曹参的生存决策树	20260423-065629-992028	20260424-003741-798da6
功高震主四策决策树：张良萧何韩信曹参比较	7285	7609	324	2026-04-24 00:37:41	butler/ontology-import: 功高震主四策（功成身退/自污保身/彻底自立/守成低调）+韩信进退失据分析+决策树+萧何三次自污操作	H1融合：改为REDIRECT→功高震主四策决策树：张良萧何韩信曹参的生存决策树	20260423-055400-fabb69	20260424-003741-454fa2
背水一战：井陉破赵	7257	7395	138	2026-04-23 15:09:12	butler/import-story: 背水一战：井陉破赵	butler/redirect: 背水一战：井陉破赵 → 背水一战	20260423-230237-2d5248	20260423-150912-c7a1e1
蒯聩辄父子争位完整方法论：前任现任冲突六原则三方决策框架与前CEO复辟应对	7179	7623	444	2026-04-24 01:05:43	butler/ontology-import: 蒯聩辄父子争位完整方法论——前任现任冲突六原则三方决策框架	H1 merge: 蒯聩辄冗余页 REDIRECT → 蒯聩辄父子争位处理六原则	20260423-084805-1e5991	20260424-010543-6f36e6
汉代削藩三路径：强制温水推恩令完整决策框架与组合拳方法论	7130	7558	428	2026-04-24 01:11:03	butler/ontology-import: 削藩三路径完整决策框架（强制/温水/推恩令）与文景武组合拳方法论	REDIRECT→汉代削藩三策完整方法论（jaccard=0.58，核心洞察已并入规范页）	20260423-071600-5b7dff	20260424-011103-622a6b
周公三诰完整方法论：建国入职三文件总纲禁令榜样五步实施与新任领导者治理清单	7106	7496	390	2026-04-24 01:06:21	butler/ontology-import: 周公三诰模式——建国入职三文件总纲禁令榜样五步实施完整方法论	H1 merge: 周公三诰冗余页 REDIRECT → 周公三诰：新任领导者入职文件治理方法	20260423-083551-4d954a	20260424-010621-b719b4
毛遂自荐、脱颖而出	6982	7120	138	2026-04-23 15:09:06	butler/import-story: 毛遂自荐、脱颖而出	butler/redirect: 毛遂自荐、脱颖而出 → 毛遂自荐	20260423-230237-a0fbec	20260423-150906-fada7e
弱者逆袭强者的战略方法论	6970	7188	218	2026-04-24 01:49:48	butler/ontology-import: 导入刘邦vs项羽弱者逆袭六步法（chapter_016 skill_001）	REDIRECT：弱者逆袭强者的战略方法论→弱者逆袭六步法：刘邦以弱胜强	20260423-043359-f4cc02	20260424-014948-256f85
刘邦七年逆袭：弱者战胜强者的六步战略方法论	6952	7378	426	2026-04-24 01:27:42	butler/ontology-import: 高祖功臣侯者年表刘邦逆袭六步法（根据地/避锋芒/多线牵制/争盟友/等时机/决战）+淘宝vs eBay现代应用	H1 REDIRECT → 刘邦七年弱者逆袭完整方法论（合并）	20260423-065257-a63ae5	20260424-012742-cb9c06
功高震主的生存之道	6914	7052	138	2026-04-24 00:37:03	butler/ontology-import: 导入功高震主四大生存策略（chapter_018 skill_001）	H1融合：改为REDIRECT→功高震主	20260423-043646-406468	20260424-003703-f7cc16
庄子寓言说理完整方法论：五步构建间接说服牺牛结构三类寓言四层效果与现代应用	6716	7108	392	2026-04-24 01:18:42	butler/ontology-import: 庄子寓言说理完整方法论——五步构建间接说服牺牛结构三类寓言四层效果与现代应用	REDIRECT→庄子寓言说理法：五步构建间接说服故事（预期效果表已并入）	20260423-085950-2d892d	20260424-011842-667d2d
刺客列传伦理困境三框架：聂政孝义优先级豫让对等原则与田光道德高地	6649	7149	500	2026-04-24 01:49:48	butler/ontology-import: 伦理困境三框架（聂政优先级序列/豫让对等原则/田光道德高地）	REDIRECT：刺客列传伦理困境三框架：聂政孝义优先级豫让对等原则与田光道德高地→刺客列传伦理困境完整方法论：聂政优先级排序豫让对等原则田光道德高地三框架与现	20260423-072155-e0491e	20260424-014948-897a1f
向戌弭兵完整方法论：14国和会五步操盘七原则小国主导大国谈判与穿梭外交	6602	7042	440	2026-04-24 00:41:57	butler/ontology-import: 向戌弭兵14国和会完整方法论——五步操盘七原则小国主导大国谈判与穿梭外交	H1融合：改为REDIRECT→向戌弭兵14国和会	20260423-085044-672be7	20260424-004157-94d909
陈完奔齐百年扎根：精英避乱迁徙七步法与国破家不破的家族延续战略	6514	6835	321	2026-04-23 14:20:49	butler/ontology-import: 陈完迁徙七步法（降格入齐/联姻扎根/百年耐心/国破家不破）	butler/dedup: 转为REDIRECT→陈完奔齐	20260423-074153-59e655	20260423-142049-d45306
牧野之战：武王伐纣	6462	6600	138	2026-04-23 15:09:08	butler/import-story: 牧野之战：武王伐纣	butler/redirect: 牧野之战：武王伐纣 → 牧野之战	20260423-230237-336232	20260423-150908-ba87b6
