章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
043_赵世家	巡狩	巡狩	272	词表匹配	巡狩	@$使@造父@御，西巡狩，见〚西王母〛，乐之	礼仪
043_赵世家	仁爱	仁爱	1305	词表匹配	仁爱	欲杀@盾@。@盾@素仁爱人，尝所食桑下饿人反	思想
043_赵世家	君子	君子	1380	词表匹配	君子	赵盾@复反，任国政。君子讥@盾@"为$正卿$	思想
043_赵世家	是非	是非	1811	词表匹配	是非	诛。今诸君将诛其後，是非先君之意而今妄诛。妄	思想
043_赵世家	春秋	春秋	3090	词表匹配	春秋	%三年%，为之祭邑，春秋祠之，世世勿绝。↵↵	典籍
043_赵世家	人心	人心	4042	词表匹配	人心	〚三代〛之乐，其声动人心。有一〚熊〛欲来援我	思想
043_赵世家	诸子	诸子	4768	词表匹配	诸子	$，$@简子@$遍召诸子相之。@子卿@曰："	思想
043_赵世家	无为	无为	4780	词表匹配	无为	相之。@子卿@曰："无为将军者。"$@简子@	思想
043_赵世家	诸子	诸子	4920	词表匹配	诸子	後，$@简子@$尽召诸子与语，@毋恤@最贤。	思想
043_赵世家	诸子	诸子	4940	词表匹配	诸子	贤。$@简子@$乃告诸子曰："吾藏*宝符*於	思想
043_赵世家	诸子	诸子	4964	词表匹配	诸子	山=上，先得者赏。"诸子驰之=常山=上，求，	思想
043_赵世家	百家	百家	5160	词表匹配	百家	曰："归我*卫士*五百家，吾将置之=晋阳=。	思想
043_赵世家	仁义	仁义	8274	词表匹配	仁义	畜@侍$@烈侯@$以仁义，约以王道，$@烈侯	思想
043_赵世家	王道	王道	8279	词表匹配	王道	烈侯@$以仁义，约以王道，$@烈侯@$逌然。	思想
043_赵世家	斩首	斩首	10330	词表匹配	斩首	&秦&，&秦&败我，斩首八万级。&齐&败我=	刑法
043_赵世家	天下	天下	10804	词表匹配	天下	宫=。召@肥义@与议天下，%五日%而毕。王北	思想
043_赵世家	社稷	社稷	10979	词表匹配	社稷	，而无彊兵之救，是亡社稷，柰何？夫有高世之名	礼仪
043_赵世家	天下	天下	11241	词表匹配	天下	定负遗俗之虑，殆无顾天下之议矣。夫论至德者不	思想
043_赵世家	天下	天下	11334	词表匹配	天下	不疑^胡服^也，吾恐天下笑我也。狂夫之乐，智	思想
043_赵世家	天下	天下	11513	词表匹配	天下	教易服而叔不服，吾恐天下议之也。制国有常，利	思想
043_赵世家	仁义	仁义	11750	词表匹配	仁义	聚也，贤圣之所教也，仁义之所施也，^诗书礼乐	思想
043_赵世家	人道	人道	11813	词表匹配	人道	之服，变古之教，易古人道，逆人之心，而怫学者	思想
043_赵世家	圣人	圣人	11915	词表匹配	圣人	礼^者，所以便事也。圣人观乡而顺宜，因事而制	思想
043_赵世家	圣人	圣人	12008	词表匹配	圣人	事异而^礼^易。是以圣人果可以利其国，不一其	思想
043_赵世家	社稷	社稷	12347	词表匹配	社稷	民，引水围=鄗=，微社稷之〚神灵〛，则=鄗=	礼仪
043_赵世家	圣人	圣人	12727	词表匹配	圣人	一道，而便国不必古。圣人之兴也不相袭而王，&	思想
043_赵世家	圣人	圣人	12816	词表匹配	圣人	、&越&无秀士也。且圣人利身谓之服，便事谓之	思想
043_赵世家	大赦	大赦	13736	词表匹配	大赦	道大通。还归，行赏，大赦，置*酒*酺%五日%	刑法
043_赵世家	天下	天下	15010	词表匹配	天下	起，以至父子俱死，为天下笑，岂不痛乎！↵↵#	思想
043_赵世家	德行	德行	15391	词表匹配	德行	] 臣闻古之贤君，其德行非布於海内也，教顺非	思想
043_赵世家	祭祀	祭祀	15409	词表匹配	祭祀	，教顺非洽於民人也，祭祀时享非数常於〚鬼神〛	礼仪
043_赵世家	天下	天下	15577	词表匹配	天下	&周&，故以&齐&餤天下。恐事之不合，故出兵	思想
043_赵世家	天下	天下	15600	词表匹配	天下	劫&魏&、@赵@。恐天下畏己也，故出质以为信	思想
043_赵世家	天下	天下	15614	词表匹配	天下	也，故出质以为信。恐天下亟反也，故徵兵於@韩	思想
043_赵世家	天下	天下	16036	词表匹配	天下	所以伐者，以事王也；天下属行，以谋王也。&燕	思想
043_赵世家	天下	天下	16136	词表匹配	天下	佼，而今乃抵罪，臣恐天下後事王者之不敢自必也	思想
043_赵世家	天下	天下	16169	词表匹配	天下	28.6] 今王毋与天下攻&齐&，天下必以王	思想
043_赵世家	天下	天下	16176	词表匹配	天下	王毋与天下攻&齐&，天下必以王为义。&齐&抱	思想
043_赵世家	社稷	社稷	16188	词表匹配	社稷	必以王为义。&齐&抱社稷而厚事王，天下必尽重	礼仪
043_赵世家	天下	天下	16195	词表匹配	天下	齐&抱社稷而厚事王，天下必尽重王义。王以天下	思想
043_赵世家	天下	天下	16205	词表匹配	天下	天下必尽重王义。王以天下善&秦&，&秦&暴，	思想
043_赵世家	天下	天下	16219	词表匹配	天下	秦&，&秦&暴，王以天下禁之，是%一世%之名	思想
043_赵世家	祭祀	祭祀	17553	词表匹配	祭祀	矣。已行，非不思也，祭祀则祝之曰'必勿使反'	礼仪
043_赵世家	圣人	圣人	18264	词表匹配	圣人	受之何如？"对曰："圣人甚祸无故之利。"王曰	思想
