章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
056_陈丞相世家	贫贱	贫贱	341	词表匹配	贫贱	有好美如@陈平@而长贫贱者乎？”卒与女。为平	思想
056_陈丞相世家	天下	天下	464	词表匹配	天下	曰：“嗟乎，使平得宰天下，亦如是肉矣！”↵↵	思想
056_陈丞相世家	赐食	赐食	930	词表匹配	赐食	见平。平等七人俱进，赐食。$王$曰：“罢，就	礼仪
056_陈丞相世家	天下	天下	1672	词表匹配	天下	王$谓@陈平@曰：“天下纷纷，何时定乎？”@	思想
056_陈丞相世家	天下	天下	1795	词表匹配	天下	去其两短，袭其两长，天下指麾则定矣。然大$王	思想
056_陈丞相世家	天下	天下	2182	词表匹配	天下	王$疑之，乃怒曰：“天下事大定矣，君$王$自	思想
056_陈丞相世家	巡狩	巡狩	2647	词表匹配	巡狩	？”平曰：“古者天子巡狩，会诸$侯$。南方有	礼仪
056_陈丞相世家	天下	天下	2807	词表匹配	天下	後*车*。信呼曰：“天下已定，我固当烹！”@	思想
056_陈丞相世家	天下	天下	3123	词表匹配	天下	，曰：“壮哉县！吾行天下，独见=洛阳=与是耳	思想
056_陈丞相世家	天下	天下	3971	词表匹配	天下	母。陵卒从汉$王$定天下。以善雍齿，雍齿，@	思想
056_陈丞相世家	天下	天下	4662	词表匹配	天下	问右$丞相$勃曰：“天下一岁决狱几何？”勃谢	思想
056_陈丞相世家	天下	天下	4684	词表匹配	天下	曰：“不知。”问：“天下一岁*钱*穀出入几何	思想
056_陈丞相世家	阴阳	阴阳	4830	词表匹配	阴阳	。宰相者，上佐天子理阴阳，顺四时，下育万物之	思想
056_陈丞相世家	弃市	弃市	5080	词表匹配	弃市	三年%，何坐略人妻，弃市，国除。↵↵[27]	刑法
056_陈丞相世家	老子	老子	5199	词表匹配	老子	$平少时，本好黄帝、老子之术。方其割肉俎上之	典籍
