章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
092_淮阴侯列传	当斩	当斩	479	词表匹配	当斩	为$连敖$。坐^法^当斩，其辈十三人皆已斩，	刑法
092_淮阴侯列传	天下	天下	520	词表匹配	天下	@$，曰："上不欲就天下乎？何为斩壮士！"$	思想
092_淮阴侯列传	天下	天下	847	词表匹配	天下	无所事@信@；必欲争天下，非@信@无所与计事	思想
092_淮阴侯列传	天下	天下	1108	词表匹配	天下	 [4] 拜将坛上论天下↵↵[4.1] @信	思想
092_淮阴侯列传	天下	天下	1170	词表匹配	天下	问王曰："今东乡争权天下，岂非$@项王@$邪	思想
092_淮阴侯列传	天下	天下	1375	词表匹配	天下	也。$@项王@$虽霸天下而臣诸侯，不居=关中	思想
092_淮阴侯列传	天下	天下	1467	词表匹配	天下	@$所过无不残灭者，天下多怨，百姓不亲附，特	思想
092_淮阴侯列传	天下	天下	1492	词表匹配	天下	彊耳。名虽为霸，实失天下心。故曰其彊易弱。今	思想
092_淮阴侯列传	天下	天下	1513	词表匹配	天下	今大王诚能反其道：任天下武勇，何所不诛！以天	思想
092_淮阴侯列传	天下	天下	1524	词表匹配	天下	下武勇，何所不诛！以天下城邑封功臣，何所不服	思想
092_淮阴侯列传	圣人	圣人	3837	词表匹配	圣人	得。故曰'狂夫之言，圣人择焉'。顾恐臣计未必	思想
092_淮阴侯列传	天下	天下	3959	词表匹配	天下	@$。名闻海内，威震天下，农夫莫不辍耕释耒，	思想
092_淮阴侯列传	天下	天下	4286	词表匹配	天下	&齐&计矣。如是，则天下事皆可图也。兵固有先	思想
092_淮阴侯列传	天下	天下	5725	词表匹配	天下	$@齐王信@$曰："天下共苦&秦&久矣，相与	思想
092_淮阴侯列传	天下	天下	5818	词表匹配	天下	击&楚&，其意非尽吞天下者不休，其不知厌足如	思想
092_淮阴侯列传	天下	天下	6027	词表匹配	天下	&与&楚&连和，参分天下王之？今释此时，而自	思想
092_淮阴侯列传	天下	天下	6219	词表匹配	天下	，&齐&人@蒯通@知天下权在@韩信@，欲为奇	思想
092_淮阴侯列传	天下	天下	6401	词表匹配	天下	也？"@蒯通@曰："天下初发难也，俊雄豪桀建	思想
092_淮阴侯列传	天下	天下	6417	词表匹配	天下	，俊雄豪桀建号壹呼，天下之士云合雾集，〘鱼〙	思想
092_淮阴侯列传	天下	天下	6463	词表匹配	天下	&楚&&汉&分争，使天下无罪之人肝胆涂地，父	思想
092_淮阴侯列传	天下	天下	6517	词表匹配	天下	阳=，乘利席卷，威震天下。然兵困於=京=、=	思想
092_淮阴侯列传	天下	天下	6670	词表匹配	天下	倚。以臣料之，其势非天下之贤圣固不能息天下之	思想
092_淮阴侯列传	天下	天下	6679	词表匹配	天下	非天下之贤圣固不能息天下之祸。当今两主之命县	思想
092_淮阴侯列传	天下	天下	6757	词表匹配	天下	若两利而俱存之，参分天下，鼎足而居，其势莫敢	思想
092_淮阴侯列传	天下	天下	6827	词表匹配	天下	，西乡为百姓请命，则天下风走而响应矣，孰敢不	思想
092_淮阴侯列传	天下	天下	6856	词表匹配	天下	以立诸侯，诸侯已立，天下服听而归德於&齐&。	思想
092_淮阴侯列传	天下	天下	6898	词表匹配	天下	侯以德，深拱揖让，则天下之君王相率而朝於&齐	思想
092_淮阴侯列传	天下	天下	7191	词表匹配	天下	之南，头足异处，卒为天下笑。此二人相与，天下	思想
092_淮阴侯列传	天下	天下	7201	词表匹配	天下	天下笑。此二人相与，天下至驩也。然而卒相禽者	思想
092_淮阴侯列传	人心	人心	7223	词表匹配	人心	，何也？患生於多欲而人心难测也。今足下欲行忠	思想
092_淮阴侯列传	天下	天下	7427	词表匹配	天下	略震主者身危，而功盖天下者不赏。臣请言大王功	思想
092_淮阴侯列传	天下	天下	7526	词表匹配	天下	以报，此所谓功无二於天下，而略不世出者也。今	思想
092_淮阴侯列传	天下	天下	7601	词表匹配	天下	位而有震主之威，名高天下，窃为足下危之。"@	思想
092_淮阴侯列传	天下	天下	7760	词表匹配	天下	也，审豪氂之小计，遗天下之大数，智诚知之，决	思想
092_淮阴侯列传	巡狩	巡狩	8346	词表匹配	巡狩	$以@陈平@计，天子巡狩会诸侯，南方有=云梦	礼仪
092_淮阴侯列传	天下	天下	8606	词表匹配	天下	；敌国破，谋臣亡。'天下已定，我固当亨！"上	思想
092_淮阴侯列传	天下	天下	9030	词表匹配	天下	@$曰："公之所居，天下精兵处也；而公，陛下	思想
092_淮阴侯列传	天下	天下	9085	词表匹配	天下	自将。吾为公从中起，天下可图也。"@陈豨@素	思想
092_淮阴侯列传	天下	天下	9635	词表匹配	天下	。&秦&失其〘鹿〙，天下共逐之，於是高材疾足	思想
092_淮阴侯列传	天下	天下	9700	词表匹配	天下	信@，非知陛下也。且天下锐精持锋欲为陛下所为	思想
092_淮阴侯列传	血食	血食	9897	词表匹配	血食	、@太公@之徒，後世血食矣。不务出此，而天下	礼仪
092_淮阴侯列传	天下	天下	9907	词表匹配	天下	血食矣。不务出此，而天下已集，乃谋畔逆，夷灭	思想
