章节号,章节名,事件ID,事件名称,事件类型,事件年代,距司马谈,距司马迁,史源类型,可信度,推理依据
001,五帝本纪,001-001,黄帝诞生显灵,继位,-2698,2588,2598,文献传承,C,距司马谈2588年，必依赖文献
001,五帝本纪,001-002,阪泉之战,战争,-2690,2580,2590,文献传承,C,距司马谈2580年，必依赖文献
001,五帝本纪,001-003,涿鹿之战,战争,-2679,2569,2579,文献传承,C,距司马谈2569年，必依赖文献
001,五帝本纪,001-004,黄帝平定天下,政治整顿,-2670,2560,2570,文献传承,C,距司马谈2560年，必依赖文献
001,五帝本纪,001-005,黄帝划定疆域,建设,-2660,2550,2560,文献传承,C,距司马谈2550年，必依赖文献
001,五帝本纪,001-006,设置官制云师,改革,-2650,2540,2550,文献传承,C,距司马谈2540年，必依赖文献
001,五帝本纪,001-007,任用贤臣治民,政治改革,-2640,2530,2540,文献传承,C,距司马谈2530年，必依赖文献
001,五帝本纪,001-008,黄帝娶嫘祖生子,家族事件,-2630,2520,2530,文献传承,C,距司马谈2520年，必依赖文献
001,五帝本纪,001-009,黄帝崩逝,继位,-2599,2489,2499,文献传承,C,距司马谈2489年，必依赖文献
001,五帝本纪,001-010,颛顼帝即位,继位,-2514,2404,2414,文献传承,C,距司马谈2404年，必依赖文献
001,五帝本纪,001-011,颛顼划定四境,政治活动,-2476,2366,2376,文献传承,C,距司马谈2366年，必依赖文献
001,五帝本纪,001-012,颛顼崩帝喾立,继位,-2437,2327,2337,文献传承,C,距司马谈2327年，必依赖文献
001,五帝本纪,001-013,帝喾施政天下,政治改革,-2402,2292,2302,文献传承,C,距司马谈2292年，必依赖文献
001,五帝本纪,001-014,帝喾娶妻生子,家族事件,-2402,2292,2302,文献传承,C,距司马谈2292年，必依赖文献
001,五帝本纪,001-015,帝挚立而不善,继位,-2366,2256,2266,文献传承,C,距司马谈2256年，必依赖文献
001,五帝本纪,001-016,帝尧即位,继位,-2357,2247,2257,文献传承,C,距司马谈2247年，必依赖文献
