章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
099_刘敬叔孙通列传	天下	天下	277	词表匹配	天下	敬@曰："$陛下$取天下与&周&室异。&周&	思想
099_刘敬叔孙通列传	天下	天下	495	词表匹配	天下	周==洛邑=，以此为天下之中也，诸侯四方纳贡	思想
099_刘敬叔孙通列传	纳贡	纳贡	505	词表匹配	纳贡	天下之中也，诸侯四方纳贡职，道里均矣，有德则	礼仪
099_刘敬叔孙通列传	天下	天下	568	词表匹配	天下	也。及&周&之盛时，天下和洽，~四夷~乡风，	思想
099_刘敬叔孙通列传	天下	天下	636	词表匹配	天下	&之衰也，分而为两，天下莫朝，&周&不能制也	思想
099_刘敬叔孙通列传	天下	天下	731	词表匹配	天下	战七十，小战四十，使天下之民肝脑涂地，父子暴	思想
099_刘敬叔孙通列传	天下	天下	915	词表匹配	天下	&秦&之故地，此亦搤天下之亢而拊其背也。"↵	思想
099_刘敬叔孙通列传	天下	天下	1522	词表匹配	天下	敬@。@刘敬@曰："天下初定，士卒罢於兵，未	思想
099_刘敬叔孙通列传	天下	天下	2391	词表匹配	天下	："诸生言皆非也。夫天下合为一家，毁郡县城，	思想
099_刘敬叔孙通列传	天下	天下	2408	词表匹配	天下	毁郡县城，铄其兵，示天下不复用。且明主在其上	思想
099_刘敬叔孙通列传	天下	天下	2923	词表匹配	天下	王@$方蒙*矢石*争天下，诸生宁能斗乎？故先	思想
099_刘敬叔孙通列传	天下	天下	3015	词表匹配	天下	&汉&%五年%，已并天下，诸侯共尊$@汉王@	思想
099_刘敬叔孙通列传	天下	天下	3339	词表匹配	天下	，皆面谀以得亲贵。今天下初定，死者未葬，伤者	思想
099_刘敬叔孙通列传	圣人	圣人	3938	词表匹配	圣人	喜曰："@叔孙生@诚圣人也，知当世之要务。"	思想
099_刘敬叔孙通列传	天下	天下	4085	词表匹配	天下	晋&国乱者数十年，为天下笑。&秦&以不蚤定$	思想
099_刘敬叔孙通列传	天下	天下	4141	词表匹配	天下	见。今$太子$仁孝，天下皆闻之；$@吕后@$	思想
099_刘敬叔孙通列传	伏诛	伏诛	4183	词表匹配	伏诛	欲废適而立少，臣原先伏诛，以颈*血*汙地。"	刑法
099_刘敬叔孙通列传	天下	天下	4226	词表匹配	天下	孙通@曰："$太子$天下本，本一摇天下振动，	思想
099_刘敬叔孙通列传	天下	天下	4233	词表匹配	天下	太子$天下本，本一摇天下振动，柰何以天下为戏	思想
099_刘敬叔孙通列传	天下	天下	4241	词表匹配	天下	一摇天下振动，柰何以天下为戏！"$@高帝@$	思想
099_刘敬叔孙通列传	宗庙	宗庙	4405	词表匹配	宗庙	# [7] 叔孙通定宗庙礼↵↵[7.1] $	礼仪
099_刘敬叔孙通列传	宗庙	宗庙	4521	词表匹配	宗庙	$，柰何令後世子孙乘宗庙道上行哉？"$@孝惠	礼仪
099_刘敬叔孙通列传	宗庙	宗庙	4605	词表匹配	宗庙	冠*月出游之，益广多宗庙，大孝之本也。"上乃	礼仪
099_刘敬叔孙通列传	宗庙	宗庙	4700	词表匹配	宗庙	$出，因取〘樱桃〙献宗庙。"上乃许之。诸〘果	礼仪
099_刘敬叔孙通列传	变化	变化	4872	词表匹配	变化	，制^礼^进退，与时变化，卒为&汉&家儒宗。	思想
