章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
040_楚世家	天下	天下	120	词表匹配	天下	正$，甚有功，能光融天下，@帝喾@命曰$祝融	思想
040_楚世家	明君	明君	3506	词表匹配	明君	乎？"对曰："杀身以明君，臣之原也。"於是乃	思想
040_楚世家	天命	天命	3855	词表匹配	天命	命也。&周&德虽衰，天命未改。*鼎*之轻重，	思想
040_楚世家	天下	天下	4096	词表匹配	天下	贪其县，亦何以复令於天下！"@庄王@乃复国&	思想
040_楚世家	社稷	社稷	4253	词表匹配	社稷	桓@、@武@，不绝其社稷，使改事君，孤之原也	礼仪
040_楚世家	君子	君子	4481	词表匹配	君子	以情。@庄王@曰："君子哉！"遂罢兵去。↵↵	思想
040_楚世家	望祭	望祭	6987	词表匹配	望祭	。↵↵## 共王五子望祭之谶↵↵[44.48	礼仪
040_楚世家	望祭	望祭	7018	词表匹配	望祭	宠子五人，无適立，乃望祭群神，请神决之，使主	礼仪
040_楚世家	社稷	社稷	7030	词表匹配	社稷	群神，请神决之，使主社稷，而阴与@巴姬@埋*	礼仪
040_楚世家	获罪	获罪	10247	词表匹配	获罪	=汉=，而=河=非所获罪也。"止不许。@孔子	刑法
040_楚世家	是非	是非	12236	词表匹配	是非	蛇固无足，今为之足，是非蛇也。'今君相&楚&	思想
040_楚世家	天下	天下	13326	词表匹配	天下	&秦&&齐&之交而来天下之兵也，国必大伤矣。	思想
040_楚世家	天下	天下	13836	词表匹配	天下	仪@，@秦王@必怒。天下见&楚&无&秦&，必	思想
040_楚世家	天下	天下	14308	词表匹配	天下	室，以案兵息民，令於天下？莫敢不乐听，则王名	思想
040_楚世家	天下	天下	14429	词表匹配	天下	中=，兵锉=蓝田=，天下莫不代王怀怒。今乃欲	思想
040_楚世家	天下	天下	15891	词表匹配	天下	是吾抱空质而行不义於天下也。"或曰："不然。	思想
040_楚世家	社稷	社稷	16005	词表匹配	社稷	乃告于&秦&曰："赖社稷神灵，国有王矣。"↵	礼仪
040_楚世家	斩首	斩首	16101	词表匹配	斩首	楚&，大败&楚&军，斩首五万，取=析=十五城	刑法
040_楚世家	斩首	斩首	16338	词表匹配	斩首	&於=伊阙=，大胜，斩首二十四万。&秦&乃遗	刑法
040_楚世家	王道	王道	16696	词表匹配	王道	小矢之发也，何足为大王道也。且称&楚&之大，	思想
040_楚世家	道德	道德	16727	词表匹配	道德	直此也。昔者三王以弋道德，五霸以弋战国。故&	思想
040_楚世家	圣人	圣人	16824	词表匹配	圣人	，以王何取？王何不以圣人为*弓*，以勇士为*	思想
040_楚世家	名实	名实	17722	词表匹配	名实	，小国不附，不可以致名实。名实不得，不足以伤	思想
040_楚世家	名实	名实	17725	词表匹配	名实	不附，不可以致名实。名实不得，不足以伤民。夫	思想
040_楚世家	天下	天下	17865	词表匹配	天下	&韩&以图&周&，此天下之所知也。夫怨结两&	思想
040_楚世家	天下	天下	17899	词表匹配	天下	，交绝於&齐&，声失天下，其为事危矣。夫危两	思想
040_楚世家	天下	天下	17961	词表匹配	天下	补短，不过百里。名为天下共主，裂其地不足以肥	思想
040_楚世家	天下	天下	18063	词表匹配	天下	器*之在&楚&，臣恐天下以*器*雠&楚&也。	思想
040_楚世家	天下	天下	18148	词表匹配	天下	尊主。今子将以欲诛残天下之共主，居三代之*传	思想
040_楚世家	天下	天下	19213	词表匹配	天下	&*九鼎*之时，志小天下；及饿死于@申亥@之	思想
040_楚世家	天下	天下	19228	词表匹配	天下	死于@申亥@之家，为天下笑。操行之不得，悲夫	思想
