章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
121_儒林列传	天下	天下	430	词表匹配	天下	陵迟以至于@始皇@，天下并争於&战国&，懦术	思想
121_儒林列传	圣人	圣人	726	词表匹配	圣人	，弦歌之音不绝，岂非圣人之遗化，好^礼乐^之	思想
121_儒林列传	百家	百家	1190	词表匹配	百家	绌^黄老^、^刑名^百家之言，延文学儒者%数	思想
121_儒林列传	天下	天下	1235	词表匹配	天下	$，封以@平津侯@。天下之学士靡然乡风矣。↵	思想
121_儒林列传	天下	天下	1332	词表匹配	天下	崩，朕甚愍焉。故详延天下^方正博闻^之士，咸	思想
121_儒林列传	天下	天下	1368	词表匹配	天下	议洽闻兴^礼^，以为天下先。$太常$议，与$	思想
121_儒林列传	天地	天地	1517	词表匹配	天地	下昭至德，开大明，配天地，本人伦，劝学脩^礼	思想
121_儒林列传	天人	天人	1787	词表匹配	天人	^诏书律令^下者，明天人分际，通古今之义，文	思想
121_儒林列传	尔雅	尔雅	1800	词表匹配	尔雅	际，通古今之义，文章尔雅，训辞深厚，恩施甚美	典籍
121_儒林列传	治乱	治乱	2430	词表匹配	治乱	$天子$。$天子$问治乱之事，@申公@时已%	思想
121_儒林列传	天下	天下	2884	词表匹配	天下	夫@桀@@纣@虐乱，天下之心皆归@汤@@武@	思想
121_儒林列传	天下	天下	2904	词表匹配	天下	武@，@汤@@武@与天下之心而诛@桀@@纣@	思想
121_儒林列传	尚书	尚书	3651	词表匹配	尚书	$。↵↵## 伏生传尚书↵↵[13] @伏生	典籍
121_儒林列传	天下	天下	3700	词表匹配	天下	欲求能治^尚书^者，天下无有，乃闻@伏生@能	思想
121_儒林列传	春秋	春秋	4824	词表匹配	春秋	。↵↵## 董仲舒传春秋↵↵[19] @董仲	典籍
121_儒林列传	当死	当死	5085	词表匹配	当死	於是下@董仲舒@吏，当死，诏赦之。於是@董仲	刑法
121_儒林列传	获罪	获罪	5234	词表匹配	获罪	待之。@董仲舒@恐久获罪，疾免居家。至卒，终	刑法
