章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
058_梁孝王世家	梁孝王	梁孝王	6	词表匹配	梁孝王	# [0] 梁孝王世家↵↵## 梁孝王	人名
058_梁孝王世家	世家	世家	9	词表匹配	世家	# [0] 梁孝王世家↵↵## 梁孝王刘武	器物
058_梁孝王世家	梁孝王	梁孝王	16	词表匹配	梁孝王	梁孝王世家↵↵## 梁孝王刘武↵↵### 初封	人名
058_梁孝王世家	梁王	梁王	29	词表匹配	梁王	刘武↵↵### 初封梁王↵↵[1] =梁=孝	人名
058_梁孝王世家	皇帝	皇帝	51	词表匹配	皇帝	$王$武者，@孝文@皇帝子也，而与@孝景@帝	官职
058_梁孝王世家	卫长子	长子	90	词表匹配	长子	 孝@文帝@凡四男：长子曰太子，是为@孝景@	人名
058_梁孝王世家	太原	太原	139	词表匹配	太原	武为=代=王，以参为太原$王$，以胜为=梁=	地名
058_梁孝王世家	二岁	二岁	153	词表匹配	二岁	$，以胜为=梁=王。二岁，徙=代=王为淮阳$	时间
058_梁孝王世家	淮阳	淮阳	162	词表匹配	淮阳	。二岁，徙=代=王为淮阳$王$。以=代=尽与	地名
058_梁孝王世家	太原	太原	174	词表匹配	太原	$王$。以=代=尽与太原$王$，号曰=代=王	地名
058_梁孝王世家	元光	元光	236	词表匹配	元光	$。立%二十九年%，元光%二年%卒。子义立，	时间
058_梁孝王世家	子义	子义	244	词表匹配	子义	%，元光%二年%卒。子义立，是为=代=王。%	人名
058_梁孝王世家	清河	清河	284	词表匹配	清河	，而徙=代=王$王$清河。清河$王$徙以%元	地名
058_梁孝王世家	清河	清河	287	词表匹配	清河	=代=王$王$清河。清河$王$徙以%元鼎%%	地名
058_梁孝王世家	淮阳王	淮阳王	314	词表匹配	淮阳王	↵↵[3] 初，武为淮阳王%十年%，而=梁=王	官职
058_梁孝王世家	明年	明年	356	词表匹配	明年	子，爱幸异於他子。其明年，徙淮阳$王$武为=	时间
058_梁孝王世家	淮阳	淮阳	360	词表匹配	淮阳	异於他子。其明年，徙淮阳$王$武为=梁=王。	地名
058_梁孝王世家	明年	明年	454	词表匹配	明年	%，比年入朝，留，其明年，乃之国。二%十一年	时间
058_梁孝王世家	万岁	万岁	537	词表匹配	万岁	从容言曰：“千%秋%万岁後传於$王$。”$王	时间
058_梁孝王世家	吴楚	吴楚	577	词表匹配	吴楚	然。↵↵### 抗击吴楚↵↵[5] 其%春%	人名
058_梁孝王世家	七国	七国	598	词表匹配	七国	%，=吴=楚齐=赵=七国反。=吴=楚先击=梁	朝代
058_梁孝王世家	棘壁	棘壁	611	词表匹配	棘壁	。=吴=楚先击=梁=棘壁，杀数万人。=梁=孝	地名
058_梁孝王世家	数万人	数万人	615	词表匹配	数万人	楚先击=梁=棘壁，杀数万人。=梁=孝$王$城守	时间
058_梁孝王世家	韩安国	安国	638	词表匹配	安国	=睢阳=，而使=韩=安国、张羽等为$大将军$	人名
058_梁孝王世家	张羽	张羽	641	词表匹配	张羽	=，而使=韩=安国、张羽等为$大将军$，以距	人名
058_梁孝王世家	周亚夫	亚夫	680	词表匹配	亚夫	敢过而西，与$太尉$亚夫等相距%三月%。=吴	人名
058_梁孝王世家	明年	明年	712	词表匹配	明年	杀虏略与&汉&中分。明年，&汉&立太子。其後	时间
058_梁孝王世家	帝颛顼高阳	高阳	755	词表匹配	高阳	地北界=泰山=，西至高阳，四十馀城，皆多大县	人名
058_梁孝王世家	十馀城	十馀城	759	词表匹配	十馀城	泰山=，西至高阳，四十馀城，皆多大县。↵↵##	时间
058_梁孝王世家	百馀里	百馀里	820	词表匹配	百馀里	孝$王$筑东苑，方三百馀里。广=睢阳=城七十里	时间
058_梁孝王世家	七十里	七十里	830	词表匹配	七十里	百馀里。广=睢阳=城七十里。大治宫室，为衤复道	时间
058_梁孝王世家	宫室	宫室	836	词表匹配	宫室	睢阳=城七十里。大治宫室，为衤复道，自宫连属	制度
058_梁孝王世家	衤复道	衤复道	840	词表匹配	衤复道	七十里。大治宫室，为衤复道，自宫连属於平台三十	器物
058_梁孝王世家	十馀里	十馀里	852	词表匹配	十馀里	道，自宫连属於平台三十馀里。得赐天子旌旗，出从	时间
058_梁孝王世家	天子	天子	858	词表匹配	天子	於平台三十馀里。得赐天子旌旗，出从千乘万骑。	官职
058_梁孝王世家	千乘	千乘	865	词表匹配	千乘	。得赐天子旌旗，出从千乘万骑。东西驰猎，拟於	地名
058_梁孝王世家	万骑	万骑	867	词表匹配	万骑	赐天子旌旗，出从千乘万骑。东西驰猎，拟於天子	时间
058_梁孝王世家	天子	天子	877	词表匹配	天子	万骑。东西驰猎，拟於天子。出言↵↵[7] ，	官职
