章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
076_平原君虞卿列传	诸子	诸子	49	词表匹配	诸子	，=赵=之诸公子也。诸子中胜最贤，喜宾客，宾	思想
076_平原君虞卿列传	天下	天下	1081	词表匹配	天下	遂闻汤以七十里之地王天下，@文王@以百里之壤	思想
076_平原君虞卿列传	天下	天下	1145	词表匹配	天下	资也。以=楚=之彊，天下弗能当。@白起@，小	思想
076_平原君虞卿列传	社稷	社稷	1266	词表匹配	社稷	，诚若先生之言，谨奉社稷而以从。”@毛遂@曰	礼仪
076_平原君虞卿列传	天下	天下	1461	词表匹配	天下	寡者百数，自以为不失天下之士，今乃於毛先生而	思想
076_平原君虞卿列传	天下	天下	2599	词表匹配	天下	、=魏=，=秦=必疑天下之合从，且必恐。如此	思想
076_平原君虞卿列传	天下	天下	2711	词表匹配	天下	王不得媾，军必破矣。天下贺战者皆在=秦=矣。	思想
076_平原君虞卿列传	天下	天下	2749	词表匹配	天下	=王与应侯必显重以示天下。=楚=、=魏=以=	思想
076_平原君虞卿列传	天下	天下	2775	词表匹配	天下	，必不救王。=秦=知天下不救王，则媾不可得成	思想
076_平原君虞卿列传	天下	天下	2800	词表匹配	天下	应侯果显=郑=硃以示天下贺战胜者，终不肯媾。	思想
076_平原君虞卿列传	天下	天下	2827	词表匹配	天下	败，遂围=邯郸=，为天下笑。↵↵## 割地存	思想
076_平原君虞卿列传	天下	天下	3410	词表匹配	天下	，兵必罢。我以六城收天下以攻罢=秦=，是我失	思想
076_平原君虞卿列传	天下	天下	3424	词表匹配	天下	罢=秦=，是我失之於天下而取偿於=秦=也。吾	思想
076_平原君虞卿列传	人心	人心	3901	词表匹配	人心	故其言一也，言者异则人心变矣。今臣新从=秦=	思想
076_平原君虞卿列传	天下	天下	4048	词表匹配	天下	二。夫=秦=赵构难而天下皆说，何也？曰‘吾且	思想
076_平原君虞卿列传	天下	天下	4079	词表匹配	天下	=赵=兵困於=秦=，天下之贺战胜者则必尽在於	思想
076_平原君虞卿列传	天下	天下	4107	词表匹配	天下	不如亟割地为和，以疑天下而慰=秦=之心。不然	思想
076_平原君虞卿列传	天下	天下	4120	词表匹配	天下	慰=秦=之心。不然，天下将因=秦=之怒，乘=	思想
076_平原君虞卿列传	天下	天下	4231	词表匹配	天下	以为=秦=者，是愈疑天下，而何慰=秦=之心哉	思想
076_平原君虞卿列传	天下	天下	4249	词表匹配	天下	=之心哉？独不言其示天下弱乎？且臣言勿予者，	思想
076_平原君虞卿列传	天下	天下	4364	词表匹配	天下	之深雠可以报矣，而示天下有能为也。王以此发声	思想
076_平原君虞卿列传	春秋	春秋	4771	词表匹配	春秋	↵## 困魏齐著虞氏春秋↵↵[18] @虞卿	典籍
076_平原君虞卿列传	节义	节义	4851	词表匹配	节义	春秋&，下观近世，曰节义、称号、揣摩、^政^	思想
076_平原君虞卿列传	天下	天下	5059	词表匹配	天下	[19] 翩翩公子，天下奇器。笑姬从戮，义士	思想
