章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
124_游侠列传	君子	君子	115	词表匹配	君子	闾巷人也，读书怀独行君子之德，义不苟合当世，	思想
124_游侠列传	正义	正义	187	词表匹配	正义	今游侠，其行虽不轨于正义，然其言必信，其行必	思想
124_游侠列传	桎梏	桎梏	316	词表匹配	桎梏	于=棘津=，@夷吾@桎梏，@百里@饭*牛*，	刑法
124_游侠列传	仁义	仁义	402	词表匹配	仁义	 鄙人有言曰："何知仁义，已飨其利者为有德。	思想
124_游侠列传	仁义	仁义	485	词表匹配	仁义	诛，窃国者侯，侯之门仁义存"，非虚言也。↵↵	思想
124_游侠列传	天下	天下	718	词表匹配	天下	土$卿相$之富厚，招天下贤者，显名诸侯，不可	思想
124_游侠列传	天下	天下	768	词表匹配	天下	侠，修行砥名，声施于天下，莫不称贤，是为难耳	思想
124_游侠列传	贫贱	贫贱	1047	词表匹配	贫贱	见之。振人不赡，先从贫贱始。家无馀财，*衣*	思想
124_游侠列传	天下	天下	1266	词表匹配	天下	吾知其无能为已矣。"天下骚动，$宰相$得之若	思想
124_游侠列传	君子	君子	2877	词表匹配	君子	，虽为侠而逡逡有退让君子之风。至若北道@姚氏	思想
124_游侠列传	天下	天下	3003	词表匹配	天下	人，言语不足采者。然天下无贤与不肖，知与不知	思想
