章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
009_吕太后本纪	天下	天下	325	词表匹配	天下	人刚毅，佐$高祖$定天下，所诛大臣多@吕后@	思想
009_吕太后本纪	天下	天下	1259	词表匹配	天下	$太后$子，终不能治天下。"↵↵[7.6] 	思想
009_吕太后本纪	大赦	大赦	2084	词表匹配	大赦	&吕氏&权由此起。乃大赦天下。↵↵[11.8	刑法
009_吕太后本纪	天下	天下	2086	词表匹配	天下	氏&权由此起。乃大赦天下。↵↵[11.8] 	思想
009_吕太后本纪	天下	天下	2243	词表匹配	天下	曰'非&刘氏&而王，天下共击之'。今王&吕氏	思想
009_吕太后本纪	天下	天下	2324	词表匹配	天下	↵↵> "$高帝$定天下，王子弟，今$太后$	思想
009_吕太后本纪	社稷	社稷	2502	词表匹配	社稷	廷争，臣不如君；夫全社稷，定&刘氏&之後，君	礼仪
009_吕太后本纪	天下	天下	3556	词表匹配	天下	$曰：↵↵> "凡有天下治为万民命者，盖之如	思想
009_吕太后本纪	天下	天下	3598	词表匹配	天下	以事其上，欢欣交通而天下治。今$皇帝$病久不	思想
009_吕太后本纪	庙祭	庙祭	3624	词表匹配	庙祭	惑惛乱，不能继嗣奉宗庙祭祀，不可属天下，其代	礼仪
009_吕太后本纪	天下	天下	3631	词表匹配	天下	嗣奉宗庙祭祀，不可属天下，其代之。"↵↵[2	思想
009_吕太后本纪	天下	天下	3666	词表匹配	天下	↵> "$皇太后$为天下齐民计所以安宗庙社稷	思想
009_吕太后本纪	宗庙	宗庙	3674	词表匹配	宗庙	$为天下齐民计所以安宗庙社稷甚深，群臣顿首奉	礼仪
009_吕太后本纪	社稷	社稷	3676	词表匹配	社稷	天下齐民计所以安宗庙社稷甚深，群臣顿首奉诏。	礼仪
009_吕太后本纪	天下	天下	3937	词表匹配	天下	2.3] %夏%，赦天下。封$齐悼惠王$子@	思想
009_吕太后本纪	宗庙	宗庙	4795	词表匹配	宗庙	闻之，以为王用妇人弃宗庙礼，废其嗣。↵↵##	礼仪
009_吕太后本纪	天下	天下	5444	词表匹配	天下	↵> "$高帝$已定天下，与大臣约，曰'非&	思想
009_吕太后本纪	天下	天下	5462	词表匹配	天下	曰'非&刘氏&王者，天下共击之'。今&吕氏&	思想
009_吕太后本纪	大赦	大赦	5564	词表匹配	大赦	。↵↵[32.4] 大赦天下。以$吕王$@产	刑法
009_吕太后本纪	天下	天下	5566	词表匹配	天下	↵[32.4] 大赦天下。以$吕王$@产@为	思想
009_吕太后本纪	诛灭	诛灭	5630	词表匹配	诛灭	帝太傅$。↵↵## 诛灭诸吕↵↵### 硃虚	刑法
009_吕太后本纪	天下	天下	5991	词表匹配	天下	↵> "$高帝$平定天下，王诸子弟，$悼惠王	思想
009_吕太后本纪	诸子	诸子	5995	词表匹配	诸子	$高帝$平定天下，王诸子弟，$悼惠王$王&齐	思想
009_吕太后本纪	春秋	春秋	6121	词表匹配	春秋	。今@高后@崩，而帝春秋富，未能治天下，固恃	典籍
009_吕太后本纪	天下	天下	6128	词表匹配	天下	，而帝春秋富，未能治天下，固恃大臣诸侯。而诸	思想
009_吕太后本纪	天下	天下	6164	词表匹配	天下	劫列侯忠臣，矫制以令天下，宗庙所以危。寡人率	思想
009_吕太后本纪	宗庙	宗庙	6167	词表匹配	宗庙	忠臣，矫制以令天下，宗庙所以危。寡人率兵入诛	礼仪
009_吕太后本纪	天下	天下	6731	词表匹配	天下	高帝$与@吕后@共定天下，&刘氏&所立九王，	思想
009_吕太后本纪	天下	天下	8113	词表匹配	天下	独@吕产@，今已诛，天下定矣。"↵↵[48.	思想
009_吕太后本纪	宗庙	宗庙	8585	词表匹配	宗庙	吕氏&以外家恶而几危宗庙，乱功臣。今$齐王$	礼仪
009_吕太后本纪	天下	天下	8715	词表匹配	天下	立长故顺，以仁孝闻於天下，便。"↵↵[50.	思想
009_吕太后本纪	诛灭	诛灭	9297	词表匹配	诛灭	.6] 夜，有司分部诛灭&梁&、$淮阳$、$	刑法
009_吕太后本纪	无为	无为	9407	词表匹配	无为	之苦，君臣俱欲休息乎无为，故$惠帝$垂拱，@	思想
009_吕太后本纪	天下	天下	9435	词表匹配	天下	称制^，政不出房户，天下晏然。↵↵[54.2	思想
009_吕太后本纪	天下	天下	9563	词表匹配	天下	不悲。诸&吕&用事，天下示私。↵↵[55.4	思想
