章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
087_李斯列传	天下	天下	268	词表匹配	天下	主事。今&秦&王欲吞天下,称帝而治,此布衣驰	思想
087_李斯列传	无为	无为	360	词表匹配	无为	,非世而恶利,自讬於无为,此非士之情也。故@	思想
087_李斯列传	天下	天下	646	词表匹配	天下	以灭诸侯,成帝业,为天下一统,此万世之一时也	思想
087_李斯列传	天下	天下	1879	词表匹配	天下	,卻宾客以业诸侯,使天下之士退而不敢西向,裹	思想
087_李斯列传	天下	天下	2047	词表匹配	天下	。%二十馀年%,竟并天下,尊主为$皇帝$,以	思想
087_李斯列传	天下	天下	2344	词表匹配	天下	辞,乃上书曰:"古者天下散乱,莫能相一,是以	思想
087_李斯列传	天下	天下	2395	词表匹配	天下	上所建立。今陛下并有天下,别白黑而定一尊;而	思想
087_李斯列传	百家	百家	2496	词表匹配	百家	臣请诸有文学^诗书^百家语者,蠲除去之。令到	思想
087_李斯列传	百家	百家	2570	词表匹配	百家	可其议,收去^诗书^百家之语以愚百姓,使天下	思想
087_李斯列传	天下	天下	2580	词表匹配	天下	百家之语以愚百姓,使天下无以古非今。明^法度	思想
087_李斯列传	天下	天下	2622	词表匹配	天下	书。治离宫别馆,周遍天下。%明年%,又巡狩,	思想
087_李斯列传	巡狩	巡狩	2631	词表匹配	巡狩	遍天下。%明年%,又巡狩,外攘四夷,@斯@皆	礼仪
087_李斯列传	诸子	诸子	3274	词表匹配	诸子	曰:"上崩,无诏封王诸子而独赐长子书。长子至	思想
087_李斯列传	明君	明君	3325	词表匹配	明君	曰:"固也。吾闻之,明君知臣,明父知子。父捐	思想
087_李斯列传	诸子	诸子	3341	词表匹配	诸子	父知子。父捐命,不封诸子,何可言者!"@赵高	思想
087_李斯列传	天下	天下	3468	词表匹配	天下	是不能也:三者逆德,天下不服,身殆倾危,社稷	思想
087_李斯列传	社稷	社稷	3478	词表匹配	社稷	天下不服,身殆倾危,社稷不血食。"↵↵[9.	礼仪
087_李斯列传	血食	血食	3481	词表匹配	血食	服,身殆倾危,社稷不血食。"↵↵[9.2] 	礼仪
087_李斯列传	天下	天下	3522	词表匹配	天下	&$@武@$杀其主,天下称义焉,不为不忠。&	思想
087_李斯列传	天下	天下	3918	词表匹配	天下	孰与@蒙恬@？无怨於天下孰与@蒙恬@？长子旧	思想
087_李斯列传	诸子	诸子	4167	词表匹配	诸子	^礼^敬士,&秦&之诸子未有及此者,可以为嗣	思想
087_李斯列传	圣人	圣人	4376	词表匹配	圣人	] @高@曰:"盖闻圣人迁徙无常,就变而从时	思想
087_李斯列传	天下	天下	5123	词表匹配	天下	众守边,公子为监,此天下重任也。今一使者来,	思想
087_李斯列传	天下	天下	5382	词表匹配	天下	〙过决隙也。吾既已临天下矣,欲悉耳目之所好,	思想
087_李斯列传	宗庙	宗庙	5403	词表匹配	宗庙	,穷心志之所乐,以安宗庙而乐万姓,长有天下,	礼仪
087_李斯列传	天下	天下	5412	词表匹配	天下	安宗庙而乐万姓,长有天下,终吾年寿,其道可乎	思想
087_李斯列传	连坐	连坐	5786	词表匹配	连坐	=,财物入於县官,相连坐者不可胜数。↵↵[1	刑法
087_李斯列传	赐食	赐食	5832	词表匹配	赐食	"先帝无恙时,臣入则赐食,出则乘*舆*。御府	礼仪
087_李斯列传	天下	天下	6197	词表匹配	天下	子也,曰'〚尧〛之有天下也,堂高三尺,采椽不	思想
087_李斯列传	天下	天下	6364	词表匹配	天下	矣'。然则夫所贵於有天下者,岂欲苦形劳神,身	思想
087_李斯列传	天下	天下	6419	词表匹配	天下	之所务也。彼贤人之有天下也,专用天下適己而已	思想
087_李斯列传	天下	天下	6425	词表匹配	天下	贤人之有天下也,专用天下適己而已矣,此所贵於	思想
087_李斯列传	天下	天下	6438	词表匹配	天下	己而已矣,此所贵於有天下也。夫所谓贤人者,必	思想
087_李斯列传	天下	天下	6452	词表匹配	天下	夫所谓贤人者,必能安天下而治万民,今身且不能	思想
087_李斯列传	天下	天下	6470	词表匹配	天下	身且不能利,将恶能治天下哉？故吾原赐志广欲,	思想
087_李斯列传	天下	天下	6484	词表匹配	天下	故吾原赐志广欲,长享天下而无害,为之柰何？"	思想
087_李斯列传	天下	天下	6683	词表匹配	天下	分定,上下之义明,则天下贤不肖莫敢不尽力竭任	思想
087_李斯列传	天下	天下	6707	词表匹配	天下	其君矣。是故主独制於天下而无所制也。能穷乐之	思想
087_李斯列传	天下	天下	6750	词表匹配	天下	] 故@申@子曰"有天下而不恣睢,命之曰以天	思想
087_李斯列传	天下	天下	6761	词表匹配	天下	下而不恣睢,命之曰以天下为*桎梏*"者,无他	思想
087_李斯列传	天下	天下	6789	词表匹配	天下	责^,而顾以其身劳於天下之民,若〚尧〛、〚禹	思想
087_李斯列传	天下	天下	6840	词表匹配	天下	行^督责^之道,专以天下自適也,而徒务苦形劳	思想
087_李斯列传	天下	天下	6869	词表匹配	天下	,则是黔首之役,非畜天下者也,何足贵哉!夫以	思想
087_李斯列传	天下	天下	6967	词表匹配	天下	〚尧〛、〚禹〛以身徇天下者也,因随而尊之,则	思想
087_李斯列传	仁义	仁义	7146	词表匹配	仁义	13.7] 且夫俭节仁义之人立於朝,则荒肆之	思想
087_李斯列传	明君	明君	7279	词表匹配	明君	则有贤明之谥也。是以明君独断,故权不在臣也。	思想
087_李斯列传	仁义	仁义	7295	词表匹配	仁义	权不在臣也。然後能灭仁义之涂,掩驰说之口,困	思想
087_李斯列传	仁义	仁义	7328	词表匹配	仁义	独视听,故外不可倾以仁义烈士之行,而内不可夺	思想
087_李斯列传	天下	天下	7400	词表匹配	天下	法^。^法^脩术明而天下乱者,未之闻也。故曰	思想
087_李斯列传	王道	王道	7413	词表匹配	王道	者,未之闻也。故曰"王道约而易操"也。唯明主	思想
087_李斯列传	天下	天下	7450	词表匹配	天下	,则臣无邪,臣无邪则天下安,天下安则主严尊,	思想
087_李斯列传	天下	天下	7454	词表匹配	天下	邪,臣无邪则天下安,天下安则主严尊,主严尊则	思想
087_李斯列传	明君	明君	7541	词表匹配	明君	此则帝道备,而可谓能明君臣之术矣。虽@申@、	思想
