章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
106_吴王濞列传	天下	天下	92	词表匹配	天下	之子也。@高帝@已定天下%七年%，立@刘仲@	思想
106_吴王濞列传	诸子	诸子	304	词表匹配	诸子	轻悍，无壮王以填之，诸子少，乃立@濞@於=沛	思想
106_吴王濞列传	天下	天下	397	词表匹配	天下	南有乱者，岂若邪？然天下同姓为一家也，慎无反	思想
106_吴王濞列传	天下	天下	453	词表匹配	天下	孝惠@、@高后@时，天下初定，郡国诸侯各务自	思想
106_吴王濞列传	天下	天下	488	词表匹配	天下	郡铜山，@濞@则招致天下亡命者铸钱，煮海水为	思想
106_吴王濞列传	天下	天下	630	词表匹配	天下	&，@吴王@愠曰："天下同宗，死=长安=即葬	思想
106_吴王濞列传	天下	天下	1057	词表匹配	天下	曰："昔@高帝@初定天下，昆弟少，诸子弱，大	思想
106_吴王濞列传	诸子	诸子	1064	词表匹配	诸子	@初定天下，昆弟少，诸子弱，大封同姓，故王孽	思想
106_吴王濞列传	天下	天下	1132	词表匹配	天下	馀%城：封三庶孽，分天下半。今@吴王@前有$	思想
106_吴王濞列传	天下	天下	1201	词表匹配	天下	铸钱，煮海水为盐，诱天下亡人，谋作乱。今削之	思想
106_吴王濞列传	天下	天下	1752	词表匹配	天下	循理，弃躯以除患害於天下，亿亦可乎？"王瞿然	思想
106_吴王濞列传	圣人	圣人	1865	词表匹配	圣人	，此万世一时，而愁劳圣人之所以起也。故@吴王	思想
106_吴王濞列传	天下	天下	1899	词表匹配	天下	随大王後*车*，彷徉天下，所乡者降，所指者下	思想
106_吴王濞列传	天下	天下	1912	词表匹配	天下	所乡者降，所指者下，天下莫敢不服。大王诚幸而	思想
106_吴王濞列传	天下	天下	1981	词表匹配	天下	。大王有幸而临之，则天下可并，两主分割，不亦	思想
106_吴王濞列传	天下	天下	2644	词表匹配	天下	以&汉&有贼臣，无功天下，侵夺诸侯地，使吏劾	思想
106_吴王濞列传	天下	天下	2695	词表匹配	天下	功臣，进任奸宄，诖乱天下，欲危社稷。陛下多病	思想
106_吴王濞列传	社稷	社稷	2700	词表匹配	社稷	奸宄，诖乱天下，欲危社稷。陛下多病志失，不能	礼仪
106_吴王濞列传	社稷	社稷	3035	词表匹配	社稷	伐暴，以安@刘@氏，社稷之所原也。敝国虽贫，	礼仪
106_吴王濞列传	天下	天下	3301	词表匹配	天下	弗敢欺也。寡人金钱在天下者往往而有，非必取於	思想
106_吴王濞列传	天下	天下	3620	词表匹配	天下	铸钱，煮海水为盐，诱天下豪桀，白头举事。若此	思想
106_吴王濞列传	天下	天下	3950	词表匹配	天下	何如，吾不爱一人以谢天下。"@盎@曰："臣愚	思想
106_吴王濞列传	天下	天下	4775	词表匹配	天下	以令诸侯，虽毋入关，天下固已定矣。即大王徐行	思想
106_吴王濞列传	天地	天地	5377	词表匹配	天地	，为&汉&籓国，德配天地，明并日月。@吴王@	思想
106_吴王濞列传	天下	天下	5399	词表匹配	天下	@濞@倍德反义，诱受天下亡命罪人，乱天下币，	思想
106_吴王濞列传	天下	天下	5407	词表匹配	天下	诱受天下亡命罪人，乱天下币，称病不朝%二十馀	思想
106_吴王濞列传	斩首	斩首	5613	词表匹配	斩首	虏者，深入多杀为功，斩首捕虏比^三百石^以上	刑法
106_吴王濞列传	天下	天下	6432	词表匹配	天下	等以为不义，恐其败乱天下，七国发兵，且以诛@	思想
